회사명,거래소코드,회계년도,배당금_현금
(주)강원랜드,035250,2016/12,200711608
(주)강원랜드,035250,2017/12,200711608
(주)강원랜드,035250,2018/12,182465098
(주)강원랜드,035250,2019/12,182465098
(주)강원랜드,035250,2020/12,
(주)강원랜드,035250,2021/12,
(주)강원에너지,114190,2011/11,761000
(주)강원에너지,114190,2011/12,
(주)강원에너지,114190,2012/12,103341
(주)강원에너지,114190,2012/12,530000
(주)강원에너지,114190,2013/12,380000
(주)강원에너지,114190,2014/12,
(주)강원에너지,114190,2015/12,
(주)강원에너지,114190,2016/12,
(주)강원에너지,114190,2017/12,
(주)강원에너지,114190,2018/12,
(주)강원에너지,114190,2019/12,
(주)강원에너지,114190,2020/12,
(주)강원에너지,114190,2021/12,
(주)갤럭시아에스엠,011420,2011/12,
(주)갤럭시아에스엠,011420,2012/12,
(주)갤럭시아에스엠,011420,2013/12,
(주)갤럭시아에스엠,011420,2014/12,
(주)갤럭시아에스엠,011420,2015/12,
(주)갤럭시아에스엠,011420,2016/12,
(주)갤럭시아에스엠,011420,2017/12,
(주)갤럭시아에스엠,011420,2018/12,
(주)갤럭시아에스엠,011420,2019/12,
(주)갤럭시아에스엠,011420,2020/12,
(주)갤럭시아에스엠,011420,2021/12,
(주)경농,002100,2011/12,3197000
(주)경농,002100,2012/12,2593000
(주)경농,002100,2013/12,3457632
(주)경농,002100,2014/12,3840658
(주)경농,002100,2015/12,4287516
(주)경농,002100,2016/12,4734132
(주)경농,002100,2017/12,5270072
(주)경농,002100,2018/12,4466162
(주)경농,002100,2019/12,3930223
(주)경농,002100,2020/12,4466162
(주)경농,002100,2021/12,6252628
(주)경동나비엔,009450,2011/12,1247000
(주)경동나비엔,009450,2012/12,1262000
(주)경동나비엔,009450,2013/12,1262385
(주)경동나비엔,009450,2014/12,1262385
(주)경동나비엔,009450,2015/12,1262385
(주)경동나비엔,009450,2016/12,1893578
(주)경동나비엔,009450,2017/12,2524770
(주)경동나비엔,009450,2018/12,3155962
(주)경동나비엔,009450,2019/12,3787155
(주)경동나비엔,009450,2020/12,4721174
(주)경동나비엔,009450,2021/12,6503819
(주)경동도시가스,267290,2017/12,3535031
(주)경동도시가스,267290,2018/12,4124203
(주)경동도시가스,267290,2019/12,5154124
(주)경동도시가스,267290,2020/12,5154124
(주)경동도시가스,267290,2021/12,5154124
(주)경동인베스트,012320,2011/12,3832000
(주)경동인베스트,012320,2012/12,4355000
(주)경동인베스트,012320,2013/12,4354986
(주)경동인베스트,012320,2014/12,4354986
(주)경동인베스트,012320,2015/12,4354986
(주)경동인베스트,012320,2016/12,4150078
(주)경동인베스트,012320,2017/12,1136564
(주)경동인베스트,012320,2018/12,1136564
(주)경동인베스트,012320,2019/12,1129116
(주)경동인베스트,012320,2020/12,1090176
(주)경동인베스트,012320,2021/12,1635264
(주)경방,000050,2011/12,
(주)경방,000050,2012/12,
(주)경방,000050,2013/12,623075
(주)경방,000050,2014/12,1370764
(주)경방,000050,2015/12,3426909
(주)경방,000050,2016/12,4934749
(주)경방,000050,2017/12,4934749
(주)경방,000050,2018/12,3371475
(주)경방,000050,2019/12,3301909
(주)경방,000050,2020/12,3251909
(주)경방,000050,2021/12,3130605
(주)경보제약,214390,2015/12,6574386
(주)경보제약,214390,2016/12,4781372
(주)경보제약,214390,2017/12,5976715
(주)경보제약,214390,2018/12,4781372
(주)경보제약,214390,2019/12,2390686
(주)경보제약,214390,2020/12,2390686
(주)경보제약,214390,2021/12,1195343
(주)경인양행,012610,2011/12,1845000
(주)경인양행,012610,2012/12,1796000
(주)경인양행,012610,2013/12,1942820
(주)경인양행,012610,2014/12,1951320
(주)경인양행,012610,2015/12,1951820
(주)경인양행,012610,2016/12,1976820
(주)경인양행,012610,2017/12,1984320
(주)경인양행,012610,2018/12,2007820
(주)경인양행,012610,2019/12,2034338
(주)경인양행,012610,2020/12,2058838
(주)경인양행,012610,2021/12,2073838
(주)고려시멘트,198440,2014/12,
(주)고려시멘트,198440,2015/12,
(주)고려시멘트,198440,2016/12,
(주)고려시멘트,198440,2017/12,1596156
(주)고려시멘트,198440,2018/12,1119299
(주)고려시멘트,198440,2019/12,479699
(주)고려시멘트,198440,2020/12,479699
(주)고려시멘트,198440,2021/12,479699
(주)고바이오랩,348150,2020/12,
(주)고바이오랩,348150,2021/12,
(주)고영테크놀러지,098460,2011/12,1725000
(주)고영테크놀러지,098460,2012/12,1775000
(주)고영테크놀러지,098460,2013/12,3134472
(주)고영테크놀러지,098460,2014/12,3988511
(주)고영테크놀러지,098460,2015/12,3990461
(주)고영테크놀러지,098460,2016/12,5333015
(주)고영테크놀러지,098460,2017/12,9160000
(주)고영테크놀러지,098460,2018/12,8787061
(주)고영테크놀러지,098460,2019/12,7428890
(주)고영테크놀러지,098460,2020/12,7436040
(주)고영테크놀러지,098460,2021/12,8112044
(주)골드앤에스,035290,2011/12,
(주)골드앤에스,035290,2012/12,
(주)골드앤에스,035290,2013/12,
(주)골드앤에스,035290,2014/12,
(주)골드앤에스,035290,2015/12,
(주)골드앤에스,035290,2016/12,
(주)골드앤에스,035290,2017/12,
(주)골드앤에스,035290,2018/12,
(주)골드앤에스,035290,2020/12,
(주)골드앤에스,035290,2021/12,
(주)골드퍼시픽,038530,2011/12,
(주)골드퍼시픽,038530,2012/12,
(주)골드퍼시픽,038530,2013/12,
(주)골드퍼시픽,038530,2014/12,
(주)골드퍼시픽,038530,2015/12,
(주)골드퍼시픽,038530,2016/12,
(주)골드퍼시픽,038530,2017/12,
(주)골드퍼시픽,038530,2018/12,
(주)골드퍼시픽,038530,2019/12,
(주)골드퍼시픽,038530,2020/12,
(주)골드퍼시픽,038530,2021/12,
(주)골프존,215000,2015/12,25089880
(주)골프존,215000,2016/12,10035952
(주)골프존,215000,2017/12,15053928
(주)골프존,215000,2018/12,11604070
(주)골프존,215000,2019/12,12858564
(주)골프존,215000,2020/12,15681175
(주)골프존,215000,2021/12,21953645
(주)골프존뉴딘홀딩스,121440,2011/12,9443000
(주)골프존뉴딘홀딩스,121440,2012/12,14164000
(주)골프존뉴딘홀딩스,121440,2013/12,14739628
(주)골프존뉴딘홀딩스,121440,2014/12,18355220
(주)골프존뉴딘홀딩스,121440,2015/12,24800337
(주)골프존뉴딘홀딩스,121440,2016/12,5002827
(주)골프존뉴딘홀딩스,121440,2017/12,5002827
(주)골프존뉴딘홀딩스,121440,2018/12,5002827
(주)골프존뉴딘홀딩스,121440,2019/12,5002827
(주)골프존뉴딘홀딩스,121440,2020/12,5002827
(주)골프존뉴딘홀딩스,121440,2021/12,5986288
(주)광림,014200,2011/12,606000
(주)광림,014200,2012/12,
(주)광림,014200,2013/12,
(주)광림,014200,2014/12,
(주)광림,014200,2015/12,
(주)광림,014200,2016/12,
(주)광림,014200,2017/12,
(주)광림,014200,2018/12,
(주)광림,014200,2019/12,
(주)광림,014200,2020/12,
(주)광림,014200,2021/12,
(주)광명전기,017040,2011/12,
(주)광명전기,017040,2012/12,
(주)광명전기,017040,2013/12,
(주)광명전기,017040,2014/12,
(주)광명전기,017040,2015/12,
(주)광명전기,017040,2016/12,
(주)광명전기,017040,2017/12,
(주)광명전기,017040,2018/12,
(주)광명전기,017040,2019/12,650064
(주)광명전기,017040,2020/12,650064
(주)광명전기,017040,2021/12,433376
(주)광무,029480,2011/12,
(주)광무,029480,2012/12,
(주)광무,029480,2013/12,
(주)광무,029480,2014/12,
(주)광무,029480,2015/12,
(주)광무,029480,2016/12,
(주)광무,029480,2017/12,
(주)광무,029480,2018/12,
(주)광무,029480,2019/12,
(주)광무,029480,2020/12,
(주)광무,029480,2021/12,
(주)광주신세계,037710,2011/12,2000000
(주)광주신세계,037710,2012/12,2000000
(주)광주신세계,037710,2013/12,2000000
(주)광주신세계,037710,2014/12,2000000
(주)광주신세계,037710,2015/12,2000000
(주)광주신세계,037710,2016/12,2000000
(주)광주신세계,037710,2017/12,2000000
(주)광주신세계,037710,2018/12,4800000
(주)광주신세계,037710,2019/12,5570033
(주)광주신세계,037710,2020/12,5570033
(주)광주신세계,037710,2021/12,13527223
(주)구스앤홈,329050,2019/12,
(주)구스앤홈,329050,2020/12,
(주)구영테크,053270,2011/12,
(주)구영테크,053270,2012/12,
(주)구영테크,053270,2013/12,
(주)구영테크,053270,2014/12,
(주)구영테크,053270,2015/12,1837127
(주)구영테크,053270,2016/12,
(주)구영테크,053270,2017/12,903894
(주)구영테크,053270,2018/12,740336
(주)구영테크,053270,2019/12,740336
(주)구영테크,053270,2020/12,740336
(주)구영테크,053270,2021/12,740336
(주)국동,005320,2011/12,
(주)국동,005320,2012/12,
(주)국동,005320,2013/12,
(주)국동,005320,2014/12,
(주)국동,005320,2015/12,
(주)국동,005320,2016/12,
(주)국동,005320,2017/12,
(주)국동,005320,2018/12,
(주)국동,005320,2019/12,
(주)국동,005320,2020/12,1931490
(주)국동,005320,2021/12,
(주)국보,001140,2011/12,50000
(주)국보,001140,2012/12,50000
(주)국보,001140,2013/12,50365
(주)국보,001140,2014/12,50365
(주)국보,001140,2015/12,50365
(주)국보,001140,2016/12,
(주)국보,001140,2017/12,
(주)국보,001140,2018/12,
(주)국보,001140,2019/12,
(주)국보,001140,2020/12,
(주)국보,001140,2021/12,
(주)국보디자인,066620,2011/12,1430000
(주)국보디자인,066620,2012/12,1500000
(주)국보디자인,066620,2013/12,1725000
(주)국보디자인,066620,2014/12,1875000
(주)국보디자인,066620,2015/12,1875000
(주)국보디자인,066620,2016/12,1825983
(주)국보디자인,066620,2017/12,2100000
(주)국보디자인,066620,2018/12,1998139
(주)국보디자인,066620,2019/12,2047227
(주)국보디자인,066620,2020/12,2199260
(주)국보디자인,066620,2021/12,2336713
(주)국순당,043650,2011/12,1689000
(주)국순당,043650,2012/12,1541000
(주)국순당,043650,2013/12,770618
(주)국순당,043650,2014/12,856303
(주)국순당,043650,2015/12,881398
(주)국순당,043650,2016/12,881446
(주)국순당,043650,2017/12,2997001
(주)국순당,043650,2018/12,4583778
(주)국순당,043650,2019/12,1682103
(주)국순당,043650,2020/12,2518475
(주)국순당,043650,2021/12,4092521
(주)국영지앤엠,006050,2011/12,
(주)국영지앤엠,006050,2012/12,568000
(주)국영지앤엠,006050,2013/12,
(주)국영지앤엠,006050,2014/12,434416
(주)국영지앤엠,006050,2015/12,
(주)국영지앤엠,006050,2016/12,
(주)국영지앤엠,006050,2017/12,
(주)국영지앤엠,006050,2018/12,
(주)국영지앤엠,006050,2019/12,508429
(주)국영지앤엠,006050,2020/12,
(주)국영지앤엠,006050,2021/12,
(주)국전약품,307750,2018/12,
(주)국전약품,307750,2019/12,
(주)국전약품,307750,2020/12,
(주)국전약품,307750,2021/12,490692
(주)그래디언트,035080,2011/12,
(주)그래디언트,035080,2012/12,1430000
(주)그래디언트,035080,2013/12,1658000
(주)그래디언트,035080,2014/12,1707039
(주)그래디언트,035080,2015/12,1707413
(주)그래디언트,035080,2016/12,2846891
(주)그래디언트,035080,2017/12,2810075
(주)그래디언트,035080,2018/12,2719650
(주)그래디언트,035080,2019/12,3630200
(주)그래디언트,035080,2020/12,1490754
(주)그래디언트,035080,2021/12,3881896
(주)그리티,204020,2018/12,1813269
(주)그리티,204020,2019/12,604000
(주)그리티,204020,2020/12,570350
(주)그리티,204020,2021/12,
(주)그린플러스,186230,2019/12,
(주)그린플러스,186230,2020/12,
(주)그린플러스,186230,2021/12,
(주)극동자동화,272420,2017/12,
(주)글로벌스탠다드테크놀로지,083450,2011/12,332750
(주)글로벌스탠다드테크놀로지,083450,2012/12,388000
(주)글로벌스탠다드테크놀로지,083450,2013/12,413413
(주)글로벌스탠다드테크놀로지,083450,2014/12,609542
(주)글로벌스탠다드테크놀로지,083450,2015/12,
(주)글로벌스탠다드테크놀로지,083450,2016/12,
(주)글로벌스탠다드테크놀로지,083450,2017/12,902574
(주)글로벌스탠다드테크놀로지,083450,2018/12,
(주)글로벌스탠다드테크놀로지,083450,2019/12,1778849
(주)글로벌스탠다드테크놀로지,083450,2020/12,1325137
(주)글로벌스탠다드테크놀로지,083450,2021/12,2644274
(주)금비,008870,2011/09,1040000
(주)금비,008870,2012/09,897000
(주)금비,008870,2013/09,971400
(주)금비,008870,2014/09,809500
(주)금비,008870,2015/09,1214000
(주)금비,008870,2016/09,1457000
(주)금비,008870,2017/09,1214250
(주)금비,008870,2018/09,1376000
(주)금비,008870,2019/09,1376150
(주)금비,008870,2020/09,1052350
(주)금비,008870,2021/09,1295000
(주)금빛,045890,2011/12,
(주)금빛,045890,2012/12,
(주)금빛,045890,2013/12,
(주)금빛,045890,2014/12,
(주)금빛,045890,2015/12,
(주)금빛,045890,2016/12,
(주)금빛,045890,2017/12,
(주)금빛,045890,2018/12,
(주)금빛,045890,2019/12,
(주)금빛,045890,2020/12,
(주)금양,001570,2011/12,840000
(주)금양,001570,2012/12,1176000
(주)금양,001570,2013/12,1512412
(주)금양,001570,2014/12,2016549
(주)금양,001570,2015/12,2016549
(주)금양,001570,2016/12,
(주)금양,001570,2017/12,
(주)금양,001570,2018/12,3057050
(주)금양,001570,2019/12,
(주)금양,001570,2020/12,
(주)금양,001570,2021/12,
(주)금오하이텍,165270,2013/12,
(주)금오하이텍,165270,2014/12,
(주)금오하이텍,165270,2015/12,
(주)금오하이텍,165270,2016/12,
(주)금호에이치티,214330,2015/12,1220625
(주)금호에이치티,214330,2016/12,976500
(주)금호에이치티,214330,2017/12,732375
(주)금호에이치티,214330,2018/12,
(주)금호에이치티,214330,2019/12,
(주)금호에이치티,214330,2020/12,
(주)금호에이치티,214330,2021/12,
(주)금화피에스시,036190,2011/12,2900000
(주)금화피에스시,036190,2012/12,3480000
(주)금화피에스시,036190,2013/12,5400000
(주)금화피에스시,036190,2014/12,5400000
(주)금화피에스시,036190,2015/12,5400000
(주)금화피에스시,036190,2016/12,5400000
(주)금화피에스시,036190,2017/12,5400000
(주)금화피에스시,036190,2018/12,7800000
(주)금화피에스시,036190,2019/12,7800000
(주)금화피에스시,036190,2020/12,7677527
(주)금화피에스시,036190,2021/12,7677527
(주)기가레인,049080,2013/12,798161
(주)기가레인,049080,2014/12,885221
(주)기가레인,049080,2015/12,
(주)기가레인,049080,2016/12,
(주)기가레인,049080,2017/12,0
(주)기가레인,049080,2018/12,
(주)기가레인,049080,2019/12,
(주)기가레인,049080,2020/12,
(주)기가레인,049080,2021/12,
(주)기산텔레콤,035460,2011/12,
(주)기산텔레콤,035460,2012/12,
(주)기산텔레콤,035460,2013/12,
(주)기산텔레콤,035460,2014/12,
(주)기산텔레콤,035460,2015/12,
(주)기산텔레콤,035460,2016/12,
(주)기산텔레콤,035460,2017/12,
(주)기산텔레콤,035460,2018/12,
(주)기산텔레콤,035460,2019/12,
(주)기산텔레콤,035460,2020/12,
(주)기산텔레콤,035460,2021/12,
(주)까뮤이앤씨,013700,2011/12,
(주)까뮤이앤씨,013700,2012/12,
(주)까뮤이앤씨,013700,2013/12,
(주)까뮤이앤씨,013700,2014/12,334230
(주)까뮤이앤씨,013700,2015/12,561935
(주)까뮤이앤씨,013700,2016/12,545091
(주)까뮤이앤씨,013700,2017/12,886245
(주)까뮤이앤씨,013700,2018/12,886245
(주)까뮤이앤씨,013700,2019/12,1329369
(주)까뮤이앤씨,013700,2020/12,886245
(주)까뮤이앤씨,013700,2021/12,886245
(주)까스텔바작,308100,2019/12,
(주)까스텔바작,308100,2020/12,
(주)까스텔바작,308100,2021/12,
(주)나노,187790,2014/12,
(주)나노,187790,2015/12,
(주)나노,187790,2016/12,
(주)나노,187790,2017/12,
(주)나노,187790,2018/12,476978
(주)나노,187790,2019/12,
(주)나노,187790,2020/12,
(주)나노,187790,2021/12,
(주)나노브릭,286750,2019/12,
(주)나노브릭,286750,2020/12,
(주)나노브릭,286750,2021/12,
(주)나노신소재,121600,2011/12,
(주)나노신소재,121600,2012/12,
(주)나노신소재,121600,2013/12,
(주)나노신소재,121600,2014/12,1058583
(주)나노신소재,121600,2015/12,1627143
(주)나노신소재,121600,2016/12,1081633
(주)나노신소재,121600,2016/12,30563
(주)나노신소재,121600,2017/12,1390783
(주)나노신소재,121600,2017/12,66008
(주)나노신소재,121600,2018/12,66008
(주)나노신소재,121600,2018/12,1498236
(주)나노신소재,121600,2019/12,47855
(주)나노신소재,121600,2019/12,1287800
(주)나노신소재,121600,2020/12,1055996
(주)나노신소재,121600,2020/12,90037
(주)나노신소재,121600,2021/12,90037
(주)나노신소재,121600,2021/12,71921
(주)나노신소재,121600,2021/12,1268578
(주)나노엔텍,039860,2011/12,
(주)나노엔텍,039860,2012/12,
(주)나노엔텍,039860,2013/12,
(주)나노엔텍,039860,2014/12,
(주)나노엔텍,039860,2015/12,
(주)나노엔텍,039860,2016/12,
(주)나노엔텍,039860,2017/12,
(주)나노엔텍,039860,2018/12,
(주)나노엔텍,039860,2019/12,
(주)나노엔텍,039860,2020/12,
(주)나노엔텍,039860,2021/12,
(주)나노트로닉스,010670,2011/12,
(주)나노트로닉스,010670,2012/12,
(주)나무가,190510,2015/12,
(주)나무가,190510,2016/12,
(주)나무가,190510,2017/12,
(주)나무가,190510,2018/12,
(주)나무가,190510,2019/12,
(주)나무가,190510,2020/12,
(주)나무가,190510,2021/12,
(주)나스미디어,089600,2013/12,1401893
(주)나스미디어,089600,2014/12,2391465
(주)나스미디어,089600,2015/12,2968716
(주)나스미디어,089600,2016/12,3414329
(주)나스미디어,089600,2017/12,6040737
(주)나스미디어,089600,2018/12,4639986
(주)나스미디어,089600,2019/12,5611446
(주)나스미디어,089600,2020/12,6801753
(주)나스미디어,089600,2021/12,7480422
(주)나이벡,138610,2011/12,
(주)나이벡,138610,2012/12,
(주)나이벡,138610,2013/12,
(주)나이벡,138610,2014/12,
(주)나이벡,138610,2015/12,
(주)나이벡,138610,2016/12,
(주)나이벡,138610,2017/12,
(주)나이벡,138610,2018/12,
(주)나이벡,138610,2019/12,
(주)나이벡,138610,2020/12,
(주)나이벡,138610,2021/12,
(주)나이스디앤비,130580,2011/12,755000
(주)나이스디앤비,130580,2012/12,909000
(주)나이스디앤비,130580,2013/12,908600
(주)나이스디앤비,130580,2014/12,1093400
(주)나이스디앤비,130580,2015/12,1293600
(주)나이스디앤비,130580,2016/12,1293600
(주)나이스디앤비,130580,2017/12,1478400
(주)나이스디앤비,130580,2018/12,2310000
(주)나이스디앤비,130580,2019/12,2695000
(주)나이스디앤비,130580,2020/12,3080000
(주)나이스디앤비,130580,2021/12,3542000
(주)나이스홀딩스,034310,2011/12,1968000
(주)나이스홀딩스,034310,2012/12,4772000
(주)나이스홀딩스,034310,2013/12,4037910
(주)나이스홀딩스,034310,2014/12,3900798
(주)나이스홀딩스,034310,2015/12,4255416
(주)나이스홀딩스,034310,2016/12,4610034
(주)나이스홀딩스,034310,2017/12,4610034
(주)나이스홀딩스,034310,2018/12,6818814
(주)나이스홀딩스,034310,2019/12,8712929
(주)나이스홀딩스,034310,2020/12,10220982
(주)나이스홀딩스,034310,2021/12,13976384
(주)나이코,192240,2014/12,128123
(주)나이코,192240,2015/12,
(주)나인테크,267320,2017/12,
(주)나인테크,267320,2018/12,
(주)나인테크,267320,2019/12,
(주)나인테크,267320,2020/12,
(주)나인테크,267320,2021/12,
(주)남선알미늄,008350,2011/12,
(주)남선알미늄,008350,2012/12,
(주)남선알미늄,008350,2013/12,
(주)남선알미늄,008350,2014/12,
(주)남선알미늄,008350,2015/12,
(주)남선알미늄,008350,2016/12,
(주)남선알미늄,008350,2017/12,
(주)남선알미늄,008350,2018/12,
(주)남선알미늄,008350,2019/12,
(주)남선알미늄,008350,2020/12,
(주)남선알미늄,008350,2021/12,
(주)남성,004270,2011/12,839000
(주)남성,004270,2012/12,524000
(주)남성,004270,2013/12,371596
(주)남성,004270,2014/12,374096
(주)남성,004270,2015/12,157251
(주)남성,004270,2016/12,199615
(주)남성,004270,2017/12,320052
(주)남성,004270,2018/12,314768
(주)남성,004270,2019/12,412560
(주)남성,004270,2020/12,630084
(주)남성,004270,2021/12,783062
(주)내츄럴엔도텍,168330,2013/12,
(주)내츄럴엔도텍,168330,2014/12,
(주)내츄럴엔도텍,168330,2015/12,
(주)내츄럴엔도텍,168330,2016/12,
(주)내츄럴엔도텍,168330,2017/12,
(주)내츄럴엔도텍,168330,2018/12,
(주)내츄럴엔도텍,168330,2019/12,
(주)내츄럴엔도텍,168330,2020/12,
(주)내츄럴엔도텍,168330,2021/12,
(주)네오리진,094860,2011/12,
(주)네오리진,094860,2012/12,
(주)네오리진,094860,2013/12,
(주)네오리진,094860,2014/12,
(주)네오리진,094860,2015/12,
(주)네오리진,094860,2016/12,
(주)네오리진,094860,2017/12,
(주)네오리진,094860,2018/12,
(주)네오리진,094860,2019/12,
(주)네오리진,094860,2020/12,
(주)네오리진,094860,2021/12,
(주)네오셈,253590,2018/12,
(주)네오셈,253590,2019/12,367801
(주)네오셈,253590,2020/12,724958
(주)네오셈,253590,2021/12,545248
(주)네오오토,212560,2015/12,
(주)네오오토,212560,2016/12,787489
(주)네오오토,212560,2017/12,629965
(주)네오오토,212560,2018/12,472473
(주)네오오토,212560,2019/12,393728
(주)네오오토,212560,2020/12,393728
(주)네오오토,212560,2021/12,551219
(주)네오위즈,095660,2011/12,
(주)네오위즈,095660,2012/12,
(주)네오위즈,095660,2013/12,
(주)네오위즈,095660,2014/12,
(주)네오위즈,095660,2015/12,
(주)네오위즈,095660,2016/12,
(주)네오위즈,095660,2017/12,
