회사명,거래소코드,회계년도,영업활동으로 인한 현금흐름(간접법)(*)(IFRS연결)(천원),투자활동으로 인한 현금흐름(*)(IFRS연결)(천원),재무활동으로 인한 현금흐름(*)(IFRS연결)(천원)
(주)STX,011810,2014/12,-76097000,44980000,77015000
(주)STX,011810,2015/12,-15950000,42142000,-61762000
(주)STX,011810,2016/12,57833000,53174000,-140896000
(주)STX,011810,2017/12,100295000,47311000,-96231000
(주)STX,011810,2018/12,-48114000,24797000,-28778000
(주)STX,011810,2019/12,528000,-26727000,21637000
(주)STX,011810,2020/12,57915000,-12083000,-57741000
(주)STX,011810,2021/12,-12528000,1726000,2746000
(주)TCC스틸,002710,2011/12,-10245999,-33632208,37294243
(주)TCC스틸,002710,2012/12,-4610373,-43256998,58745746
(주)TCC스틸,002710,2013/12,-29220038,12243850,15086672
(주)TCC스틸,002710,2014/12,-21440429,4309765,9083392
(주)TCC스틸,002710,2015/12,30047778,21985692,-47690562
(주)TCC스틸,002710,2016/12,-35273178,87996322,-54304570
(주)TCC스틸,002710,2017/12,-1168958,272218,998322
(주)TCC스틸,002710,2018/12,21492009,-637436,-6479222
(주)TCC스틸,002710,2019/12,-6746810,-11936714,10082864
(주)TCC스틸,002710,2020/12,-5592098,-4691300,8170194
(주)TCC스틸,002710,2021/12,7630671,27690011,-7758386
(주)가비아,079940,2011/12,9650833,-10140435,2707032
(주)가비아,079940,2012/12,13224986,-20717005,8510485
(주)가비아,079940,2013/12,12813443,-9998158,-3471415
(주)가비아,079940,2014/12,16223625,-10913796,-1874697
(주)가비아,079940,2015/12,19257887,-8773166,-3350514
(주)가비아,079940,2016/12,17871404,-18247920,2076073
(주)가비아,079940,2017/12,20444884,-8859280,-5792982
(주)가비아,079940,2018/12,21870330,-22923889,1115424
(주)가비아,079940,2019/12,36950567,-29988807,-8620801
(주)가비아,079940,2020/12,50082909,-46929586,20730746
(주)가비아,079940,2021/12,40918498,-41060142,-13627699
(주)강스템바이오텍,217730,2015/12,,,
(주)강스템바이오텍,217730,2016/12,,,
(주)강스템바이오텍,217730,2017/12,-10646869,6469317,6163311
(주)강스템바이오텍,217730,2018/12,-11476851,-25834675,36619657
(주)강스템바이오텍,217730,2019/12,-13321543,-38130531,55910992
(주)강스템바이오텍,217730,2020/12,-13994255,29848925,-13566861
(주)강스템바이오텍,217730,2021/12,-16993514,-24775059,39286023
(주)강원랜드,035250,2011/12,417827759,-187763915,-218788013
(주)강원랜드,035250,2012/12,446539739,-216998936,-194378359
(주)강원랜드,035250,2013/12,424407127,-193315698,-152767943
(주)강원랜드,035250,2014/12,510413141,-427372634,-147999469
(주)강원랜드,035250,2015/12,574981576,-398949073,-172328148
(주)강원랜드,035250,2016/12,596486851,-411462350,-197744218
(주)강원랜드,035250,2017/12,463050000,-250223124,-200251608
(주)강원랜드,035250,2018/12,363918692,-202048061,-202353847
(주)강원랜드,035250,2019/12,407868874,-211308893,-184753547
(주)강원랜드,035250,2020/12,-655676332,844645283,-183581193
(주)강원랜드,035250,2021/12,210874269,-73863428,3335306
(주)강원에너지,114190,2011/11,,,
(주)강원에너지,114190,2012/12,,,
(주)강원에너지,114190,2013/12,,,
(주)강원에너지,114190,2014/12,,,
(주)강원에너지,114190,2015/12,9499050,-4069038,14510764
(주)강원에너지,114190,2016/12,-15783876,-272939,-1428
(주)강원에너지,114190,2017/12,-3706818,-746589,2950722
(주)강원에너지,114190,2018/12,-10173085,-801059,16693653
(주)강원에너지,114190,2019/12,6960049,-14687728,-8326408
(주)강원에너지,114190,2020/12,-4483215,23323627,-13524494
(주)강원에너지,114190,2021/12,,,
(주)갤럭시아에스엠,011420,2011/12,5951394,381972,796045
(주)갤럭시아에스엠,011420,2012/12,2801469,-5044476,1396146
(주)갤럭시아에스엠,011420,2013/12,4527179,-9658129,444977
(주)갤럭시아에스엠,011420,2014/12,-70410,-458207,-150000
(주)갤럭시아에스엠,011420,2015/12,2451666,-3398195,20349626
(주)갤럭시아에스엠,011420,2016/12,-1195544,-559339,-958600
(주)갤럭시아에스엠,011420,2017/12,-7389242,-1969493,0
(주)갤럭시아에스엠,011420,2018/12,-2809869,1068801,0
(주)갤럭시아에스엠,011420,2019/12,903569,995670,-2068359
(주)갤럭시아에스엠,011420,2020/12,,,
(주)갤럭시아에스엠,011420,2021/12,,,
(주)경농,002100,2011/12,14162963,-9444978,-23133875
(주)경농,002100,2012/12,8796940,-6775458,6493768
(주)경농,002100,2013/12,18563319,-1125346,-27230933
(주)경농,002100,2014/12,14706590,-16252739,7251290
(주)경농,002100,2015/12,-9854199,-14264573,23083006
(주)경농,002100,2016/12,15996174,-14091883,-7381227
(주)경농,002100,2017/12,15815332,-12828629,893935
(주)경농,002100,2018/12,10607249,-12754265,1603012
(주)경농,002100,2019/12,-1020171,6297614,-6078769
(주)경농,002100,2020/12,15868144,6834074,-20879610
(주)경농,002100,2021/12,10815548,-5751218,7383203
(주)경동나비엔,009450,2011/12,15493744,-19734957,437099
(주)경동나비엔,009450,2012/12,27648702,-29096492,9446128
(주)경동나비엔,009450,2013/12,20912632,-67412813,22496757
(주)경동나비엔,009450,2014/12,-13266158,-38148799,50436010
(주)경동나비엔,009450,2015/12,43719574,-7238540,-37990498
(주)경동나비엔,009450,2016/12,61333200,-22069978,-35032227
(주)경동나비엔,009450,2017/12,20111583,-40198288,26540438
(주)경동나비엔,009450,2018/12,-14286091,-44715979,56483023
(주)경동나비엔,009450,2019/12,78554868,-51466326,-33520665
(주)경동나비엔,009450,2020/12,57625120,-58864878,18661208
(주)경동나비엔,009450,2021/12,80668519,-12549527,-63079200
(주)경동도시가스,267290,2017/12,19371687,-54218575,-856859
(주)경동도시가스,267290,2018/12,120705226,-58533558,-4857492
(주)경동도시가스,267290,2019/12,33973376,-46540342,-6186816
(주)경동도시가스,267290,2020/12,314378,-24924821,-9978209
(주)경동도시가스,267290,2021/12,138736973,-36584133,-6859981
(주)경동인베스트,012320,2011/12,88589199,-63153791,-15652542
(주)경동인베스트,012320,2012/12,150571070,-60092789,-9221041
(주)경동인베스트,012320,2013/12,69233629,-38215830,-4606606
(주)경동인베스트,012320,2014/12,20818461,-36929956,3546093
(주)경동인베스트,012320,2015/12,-50279018,-128436091,47600994
(주)경동인베스트,012320,2016/12,26876328,-25524035,-5663220
(주)경동인베스트,012320,2017/12,60158090,-20172592,-6303754
(주)경동인베스트,012320,2018/12,12513851,35768379,-46093284
(주)경동인베스트,012320,2019/12,32390710,-8561739,-21627299
(주)경동인베스트,012320,2020/12,18457523,4845174,-26563498
(주)경동인베스트,012320,2021/12,25395956,-8403313,-20191056
(주)경방,000050,2011/12,-14647398,-26322473,35048132
(주)경방,000050,2012/12,17789061,-27697875,8478478
(주)경방,000050,2013/12,51153970,-3280250,-48062284
(주)경방,000050,2014/12,23819336,-33885316,7248278
(주)경방,000050,2015/12,39920580,-36713625,-4572002
(주)경방,000050,2016/12,67981079,-13675594,-53643827
(주)경방,000050,2017/12,57866501,-19767162,-36109907
(주)경방,000050,2018/12,12093896,-25719906,10321447
(주)경방,000050,2019/12,66875285,-45096923,-14956599
(주)경방,000050,2020/12,33635651,88336713,-95710890
(주)경방,000050,2021/12,20910159,-52176588,2602977
(주)경보제약,214390,2015/12,,,
(주)경보제약,214390,2016/12,,,
(주)경보제약,214390,2017/12,,,
(주)경보제약,214390,2018/12,,,
(주)경보제약,214390,2019/12,,,
(주)경보제약,214390,2020/12,,,
(주)경보제약,214390,2021/12,,,
(주)경인양행,012610,2011/12,9839673,-9877016,-5766473
(주)경인양행,012610,2012/12,20801833,-5059446,-11508502
(주)경인양행,012610,2013/12,1046809,-3527107,1806201
(주)경인양행,012610,2014/12,18368986,-12201523,-2721206
(주)경인양행,012610,2015/12,5444861,-10080952,5507952
(주)경인양행,012610,2016/12,19013689,-7033423,-7321054
(주)경인양행,012610,2017/12,5323456,-25434854,21933930
(주)경인양행,012610,2018/12,1873412,-31671509,31497592
(주)경인양행,012610,2019/12,6768170,-46297964,42426085
(주)경인양행,012610,2020/12,54551658,-40618876,39942677
(주)경인양행,012610,2021/12,9230963,-30301041,24823696
(주)고려시멘트,198440,2014/12,,,
(주)고려시멘트,198440,2015/12,,,
(주)고려시멘트,198440,2016/12,,,
(주)고려시멘트,198440,2017/12,,,
(주)고려시멘트,198440,2018/12,,,
(주)고려시멘트,198440,2019/12,,,
(주)고려시멘트,198440,2020/12,,,
(주)고려시멘트,198440,2021/12,,,
(주)고바이오랩,348150,2020/12,-12770564,20991597,31045037
(주)고바이오랩,348150,2021/12,-12480855,-31153948,55741177
(주)고영테크놀러지,098460,2011/12,13903738,-15045937,-1005001
(주)고영테크놀러지,098460,2012/12,11397833,-8116145,-1627415
(주)고영테크놀러지,098460,2013/12,13282913,-6568022,693223
(주)고영테크놀러지,098460,2014/12,25603240,-14447901,-5986932
(주)고영테크놀러지,098460,2015/12,16569102,-1979022,-8347958
(주)고영테크놀러지,098460,2016/12,29234878,-7025366,-3590719
(주)고영테크놀러지,098460,2017/12,19941301,5201174,-22646309
(주)고영테크놀러지,098460,2018/12,21765311,-72484067,26904466
(주)고영테크놀러지,098460,2019/12,29168422,-7879555,-17435362
(주)고영테크놀러지,098460,2020/12,37796430,-7825412,-12222227
(주)고영테크놀러지,098460,2021/12,42480323,-12063397,-7334975
(주)골드앤에스,035290,2011/12,8628850,-8498088,-445968
(주)골드앤에스,035290,2012/12,2478990,-9284293,9774762
(주)골드앤에스,035290,2013/12,-204052,-1383374,-1351541
(주)골드앤에스,035290,2014/12,-991208,-1764445,2956818
(주)골드앤에스,035290,2015/12,1708284,-5567330,4121207
(주)골드앤에스,035290,2016/12,1679723,94530,-1824664
(주)골드앤에스,035290,2017/12,361216,-6335735,7655990
(주)골드앤에스,035290,2018/12,-3136830,-12675663,28913273
(주)골드앤에스,035290,2019/12,-6506543,-4713771,-3273255
(주)골드앤에스,035290,2020/12,-498313,913873,6671045
(주)골드앤에스,035290,2021/12,2035559,-5392461,-423594
(주)골드퍼시픽,038530,2011/12,,,
(주)골드퍼시픽,038530,2012/12,,,
(주)골드퍼시픽,038530,2013/12,-2334044,-6853546,9215773
(주)골드퍼시픽,038530,2014/12,-4905537,-3323988,8252414
(주)골드퍼시픽,038530,2015/12,-5635841,1337628,7138741
(주)골드퍼시픽,038530,2016/12,,,
(주)골드퍼시픽,038530,2017/12,,,
(주)골드퍼시픽,038530,2018/12,-3626992,-5614342,16531379
(주)골드퍼시픽,038530,2019/12,,,
(주)골드퍼시픽,038530,2020/12,,,
(주)골드퍼시픽,038530,2021/12,,,
(주)골프존,215000,2015/12,44345997,-4207242,-174324
(주)골프존,215000,2016/12,35237011,-33604113,-25041880
(주)골프존,215000,2017/12,80376887,11830916,-12541622
(주)골프존,215000,2018/12,32883976,-56231601,-28387248
(주)골프존,215000,2019/12,39501603,-46930786,-36061125
(주)골프존,215000,2020/12,87402396,-52632514,-25286953
(주)골프존,215000,2021/12,136071287,-63709279,-29648170
(주)골프존뉴딘홀딩스,121440,2011/12,46128334,-173047588,139988485
(주)골프존뉴딘홀딩스,121440,2012/12,61269978,-91334075,44389305
(주)골프존뉴딘홀딩스,121440,2013/12,63430820,-90093517,26100797
(주)골프존뉴딘홀딩스,121440,2014/12,28790402,-75886421,35881327
(주)골프존뉴딘홀딩스,121440,2015/12,-15266617,10947085,-3988605
(주)골프존뉴딘홀딩스,121440,2016/12,15895535,-11134900,-18462843
(주)골프존뉴딘홀딩스,121440,2017/12,-1173648,-754187,16166173
(주)골프존뉴딘홀딩스,121440,2018/12,-20158087,-36752525,23661522
(주)골프존뉴딘홀딩스,121440,2019/12,5656323,15355506,-3462255
(주)골프존뉴딘홀딩스,121440,2020/12,25586892,50006233,-20178709
(주)골프존뉴딘홀딩스,121440,2021/12,21104190,-67909461,-13025241
(주)광림,014200,2011/12,,,
(주)광림,014200,2012/12,,,
(주)광림,014200,2013/12,,,
(주)광림,014200,2014/12,-6344996,-13004183,20104756
(주)광림,014200,2015/12,,,
(주)광림,014200,2016/12,3288372,-11978430,19604477
(주)광림,014200,2017/12,-15250032,-7625214,25745110
(주)광림,014200,2018/12,-13294713,-8169183,6217754
(주)광림,014200,2019/12,-12235587,-47636791,61311840
(주)광림,014200,2020/12,25092530,11441987,-17880508
(주)광림,014200,2021/12,9903828,-20408274,46725680
(주)광명전기,017040,2011/12,1765403,-1505720,4339007
(주)광명전기,017040,2012/12,3436380,-1024973,3121140
(주)광명전기,017040,2013/12,3129414,373757,-10142498
(주)광명전기,017040,2014/12,11464334,-7261188,-1734131
(주)광명전기,017040,2015/12,18501076,2326377,-2420429
(주)광명전기,017040,2016/12,4502682,-35162672,23002124
(주)광명전기,017040,2017/12,6647411,-8947369,5450000
(주)광명전기,017040,2018/12,-3815893,-2977933,1451000
(주)광명전기,017040,2019/12,20495932,-24504535,2509805
(주)광명전기,017040,2020/12,5269896,-2588559,329435
(주)광명전기,017040,2021/12,-2536009,9404579,-6881885
(주)광무,029480,2011/12,8460656,-26234397,14067393
(주)광무,029480,2012/12,-5808549,4070985,-4748591
(주)광무,029480,2013/12,-971186,-4579970,5454586
(주)광무,029480,2014/12,,,
(주)광무,029480,2015/12,,,
(주)광무,029480,2016/12,,,
(주)광무,029480,2017/12,,,
(주)광무,029480,2018/12,-1324743,-319877,2894228
(주)광무,029480,2019/12,-2435580,-17176123,34560606
(주)광무,029480,2020/12,-1312547,2101183,-9990224
(주)광무,029480,2021/12,-1066561,6926274,62665836
(주)광주신세계,037710,2011/12,,,
(주)광주신세계,037710,2012/12,,,
(주)광주신세계,037710,2013/12,,,
(주)광주신세계,037710,2014/12,,,
(주)광주신세계,037710,2015/12,,,
(주)광주신세계,037710,2016/12,,,
(주)광주신세계,037710,2017/12,,,
(주)광주신세계,037710,2018/12,,,
(주)광주신세계,037710,2019/12,,,
(주)광주신세계,037710,2020/12,,,
(주)광주신세계,037710,2021/12,,,
(주)구스앤홈,329050,2019/12,,,
(주)구스앤홈,329050,2020/12,,,
(주)구영테크,053270,2011/12,1574250,-9334663,6137278
(주)구영테크,053270,2012/12,11791408,-19332088,11106851
(주)구영테크,053270,2013/12,11048296,2200348,-14348608
(주)구영테크,053270,2014/12,3399363,-7627163,3862049
(주)구영테크,053270,2015/12,17308908,-9701693,-2938134
(주)구영테크,053270,2016/12,19282164,-16813216,-2911666
(주)구영테크,053270,2017/12,5515131,-23239804,22758861
(주)구영테크,053270,2018/12,3263344,-19303224,7721502
(주)구영테크,053270,2019/12,7656129,-6494849,573062
(주)구영테크,053270,2020/12,18178378,-14700287,-503951
(주)구영테크,053270,2021/12,17241006,-19252542,3865744
(주)국동,005320,2011/12,-963482,-563056,1249978
(주)국동,005320,2012/12,4976107,-802263,-3697858
(주)국동,005320,2013/12,-2405589,-1008688,43744
(주)국동,005320,2014/12,-12910,-4423508,9356588
(주)국동,005320,2015/12,3908416,-3399517,1703029
(주)국동,005320,2016/12,747703,-15940624,17156098
(주)국동,005320,2017/12,-6827943,-4410422,3011233
(주)국동,005320,2018/12,-3944667,1472014,791350
(주)국동,005320,2019/12,3901005,-23961325,24263642
(주)국동,005320,2020/12,25978507,4858169,30405424
(주)국동,005320,2021/12,-25316837,-7110215,-25636490
(주)국보,001140,2011/12,3249944,961955,-3806294
(주)국보,001140,2012/12,-3613866,-1274126,5433114
(주)국보,001140,2013/12,2809735,-3656970,224500
(주)국보,001140,2014/12,-238084,604389,-314587
(주)국보,001140,2015/12,-837022,3057463,-2424763
(주)국보,001140,2016/12,507314,194932,-811656
(주)국보,001140,2017/12,-3103505,-531778,4309295
(주)국보,001140,2018/12,-6078157,20673339,-15204967
(주)국보,001140,2019/12,-9899692,-2963513,17704213
(주)국보,001140,2020/12,-10627275,-3744404,9611125
(주)국보,001140,2021/12,2033468,-19210101,22780705
(주)국보디자인,066620,2011/12,15461768,-9687267,-2534452
(주)국보디자인,066620,2012/12,15200794,-7894541,1209544
(주)국보디자인,066620,2013/12,20298063,-24803246,1871372
(주)국보디자인,066620,2014/12,13115955,-10641719,-5096372
(주)국보디자인,066620,2015/12,12342482,-9937234,6000
(주)국보디자인,066620,2016/12,12706335,-3570086,-7555049
(주)국보디자인,066620,2017/12,17688040,-1877183,-1825983
(주)국보디자인,066620,2018/12,2672078,-8679349,-4487473
(주)국보디자인,066620,2019/12,5879030,-3573627,-2910115
(주)국보디자인,066620,2020/12,34430454,-12738081,-5320036
(주)국보디자인,066620,2021/12,12124010,-16539937,-2515951
(주)국순당,043650,2011/12,7678883,-9565683,-4350705
(주)국순당,043650,2012/12,7480415,-10521522,7495940
(주)국순당,043650,2013/12,4097835,-3743052,1730300
(주)국순당,043650,2014/12,2930587,5409553,-4801400
(주)국순당,043650,2015/12,-9008894,4802344,3766659
(주)국순당,043650,2016/12,141542,-12698994,-1511584
(주)국순당,043650,2017/12,-2421354,15508783,-716646
(주)국순당,043650,2018/12,-5633688,-3833228,-3070820
(주)국순당,043650,2019/12,-4311503,19566430,-5399387
(주)국순당,043650,2020/12,15137331,-490147,-6375171
(주)국순당,043650,2021/12,5759119,-5977533,-3413763
(주)국영지앤엠,006050,2011/12,,,
(주)국영지앤엠,006050,2012/12,,,
(주)국영지앤엠,006050,2013/12,,,
(주)국영지앤엠,006050,2014/12,,,
(주)국영지앤엠,006050,2015/12,,,
(주)국영지앤엠,006050,2016/12,,,
(주)국영지앤엠,006050,2017/12,,,
(주)국영지앤엠,006050,2018/12,,,
(주)국영지앤엠,006050,2019/12,,,
(주)국영지앤엠,006050,2020/12,,,
(주)국영지앤엠,006050,2021/12,,,
(주)국전약품,307750,2018/12,,,
(주)국전약품,307750,2019/12,,,
(주)국전약품,307750,2020/12,,,
(주)국전약품,307750,2021/12,,,
(주)그래디언트,035080,2011/12,30951834,-260754525,175871712
(주)그래디언트,035080,2012/12,-36922160,52759251,-27384670
(주)그래디언트,035080,2013/12,79408763,-10169694,-22443439
(주)그래디언트,035080,2014/12,231909338,-138819396,1922008
(주)그래디언트,035080,2015/12,-17283547,-21576537,-35304058
(주)그래디언트,035080,2016/12,115110645,-65823461,-31762090
(주)그래디언트,035080,2017/12,185478374,-158100941,-31986293
(주)그래디언트,035080,2018/12,89690570,-34993424,-20727115
(주)그래디언트,035080,2019/12,136435672,-88105524,-73544984
(주)그래디언트,035080,2020/12,-69055960,105999550,-76292246
(주)그래디언트,035080,2021/12,58786042,-50532113,-22870264
(주)그리티,204020,2018/12,5431995,-23503665,17621607
(주)그리티,204020,2019/12,-1686901,11577718,-9082842
(주)그리티,204020,2020/12,3256329,4705096,-7859481
(주)그리티,204020,2021/12,117235,4110285,-4240494
(주)그린플러스,186230,2019/12,-2089558,-833175,6767279
(주)그린플러스,186230,2020/12,2648942,-7195393,10357363
(주)그린플러스,186230,2021/12,-950616,-2510270,15201222
(주)극동자동화,272420,2017/12,,,
(주)글로벌스탠다드테크놀로지,083450,2011/12,4492432,-8602113,6175565
(주)글로벌스탠다드테크놀로지,083450,2012/12,4001355,2920877,-2008574
(주)글로벌스탠다드테크놀로지,083450,2013/12,1561871,-2967228,2019654
(주)글로벌스탠다드테크놀로지,083450,2014/12,12091380,-3285187,42494
(주)글로벌스탠다드테크놀로지,083450,2015/12,6748971,-9000109,-559542
(주)글로벌스탠다드테크놀로지,083450,2016/12,158727,-3735368,563035
(주)글로벌스탠다드테크놀로지,083450,2017/12,17990434,-11451677,441771
(주)글로벌스탠다드테크놀로지,083450,2018/12,2345516,-6874684,-2754280
(주)글로벌스탠다드테크놀로지,083450,2019/12,19307761,-4544589,-990125
(주)글로벌스탠다드테크놀로지,083450,2020/12,19591166,-3743859,-5280685
(주)글로벌스탠다드테크놀로지,083450,2021/12,25550969,-19440851,-94528
(주)금비,008870,2011/09,12321864,-47042393,38773799
(주)금비,008870,2012/09,7352357,-818772,-1548740
(주)금비,008870,2013/09,13722575,-12924970,-2168623
(주)금비,008870,2014/09,20828874,-18434620,3377369
(주)금비,008870,2015/09,22566968,-12543676,-5142678
(주)금비,008870,2016/09,20642754,-18296006,4654502
(주)금비,008870,2017/09,18531193,-10670278,-6747892
(주)금비,008870,2018/09,17119182,-10311501,-3683171
(주)금비,008870,2019/09,25156424,-21688731,-1537170
(주)금비,008870,2020/09,19474082,-92550954,62593942
(주)금비,008870,2021/09,31167962,-17638599,-7947309
(주)금빛,045890,2011/12,7449856,-2480619,-1643043
(주)금빛,045890,2012/12,10057739,-953983,-8059796
(주)금빛,045890,2013/12,-3134980,-3798116,8458899
(주)금빛,045890,2014/12,2361662,-4312202,-3723352
(주)금빛,045890,2015/12,202530,-3196054,2786520
(주)금빛,045890,2016/12,6597789,-3949362,-865584
(주)금빛,045890,2017/12,-2852953,2950026,1202148
(주)금빛,045890,2018/12,-1697350,7775765,-5865181
(주)금빛,045890,2019/12,-14090980,-5580573,19625668
(주)금빛,045890,2020/12,-7039791,-22720650,28687186
(주)금양,001570,2011/12,-688415,-12571372,12239902
(주)금양,001570,2012/12,3603001,-2042502,4279239
(주)금양,001570,2013/12,-16906920,-5428647,15684435
(주)금양,001570,2014/12,34150831,-3644286,-13374831
(주)금양,001570,2015/12,7307038,-14191694,1782822
(주)금양,001570,2016/12,8032406,-25422638,11572079
(주)금양,001570,2017/12,-22124138,36103858,-13474059
(주)금양,001570,2018/12,17366463,-11960943,3045101
(주)금양,001570,2019/12,-599179,-8906710,15340899
(주)금양,001570,2020/12,-507536,-3292385,-2120647
