회사명,거래소코드,회계년도,영업활동으로 인한 현금흐름(간접법)(*)(IFRS)(천원),투자활동으로 인한 현금흐름(*)(IFRS)(천원),재무활동으로 인한 현금흐름(*)(IFRS)(천원)
(주)STX,011810,2011/12,-108220000,-311014000,312651000
(주)STX,011810,2012/12,159192000,-170700000,-58448000
(주)STX,011810,2013/12,85353000,256801000,-316469000
(주)STX,011810,2014/12,-78562000,25152000,88352000
(주)STX,011810,2015/12,28936000,41271000,-101779000
(주)STX,011810,2016/12,31638000,48420000,-107426000
(주)STX,011810,2017/12,93844000,45598000,-83177000
(주)STX,011810,2018/12,-51274000,22829000,-27927000
(주)STX,011810,2019/12,12558000,-35804000,24610000
(주)STX,011810,2020/12,66336000,-13796000,-60242000
(주)STX,011810,2021/12,-6179000,2314000,-2851000
(주)TCC스틸,002710,2011/12,-8210627,-34958575,36856980
(주)TCC스틸,002710,2012/12,10878979,-32640959,23360930
(주)TCC스틸,002710,2013/12,21218485,-35681571,12449418
(주)TCC스틸,002710,2014/12,13870764,-28226203,12897730
(주)TCC스틸,002710,2015/12,36353152,-15629867,-19472677
(주)TCC스틸,002710,2016/12,-34206656,87807785,-52968874
(주)TCC스틸,002710,2017/12,-7248002,671217,5097295
(주)TCC스틸,002710,2018/12,13968719,-2184262,-4905789
(주)TCC스틸,002710,2019/12,-251282,-11360066,10727544
(주)TCC스틸,002710,2020/12,-998793,-10168320,7561973
(주)TCC스틸,002710,2021/12,6479414,28404966,-9214051
(주)가비아,079940,2011/12,6750777,-5828440,-1372783
(주)가비아,079940,2012/12,9005290,-16004942,7027128
(주)가비아,079940,2013/12,6245989,-1682086,-2043346
(주)가비아,079940,2014/12,8696486,-7744206,-924902
(주)가비아,079940,2015/12,10152135,-1800461,-3500706
(주)가비아,079940,2016/12,9339489,-10755258,-391060
(주)가비아,079940,2017/12,8670614,-6515005,-391060
(주)가비아,079940,2018/12,9241321,-8098967,608940
(주)가비아,079940,2019/12,13243609,-13094318,-2465787
(주)가비아,079940,2020/12,16302314,-20145173,5969932
(주)가비아,079940,2021/12,13962996,-15858537,-4339454
(주)강스템바이오텍,217730,2015/12,-3800024,-12058913,21489927
(주)강스템바이오텍,217730,2016/12,-7796613,-26722204,30170015
(주)강스템바이오텍,217730,2017/12,-10267751,5871865,5753187
(주)강스템바이오텍,217730,2018/12,-11298071,-25397225,35740905
(주)강스템바이오텍,217730,2019/12,-11097344,-33356662,47081570
(주)강스템바이오텍,217730,2020/12,-16124997,31237930,-13029409
(주)강스템바이오텍,217730,2021/12,-16455808,-23752408,39851753
(주)강원랜드,035250,2011/12,428912416,-198767256,-218788013
(주)강원랜드,035250,2012/12,458412852,-232183363,-194378359
(주)강원랜드,035250,2013/12,432139763,-229555921,-153067943
(주)강원랜드,035250,2014/12,516728788,-404621440,-147999469
(주)강원랜드,035250,2015/12,581804341,-399445183,-172328148
(주)강원랜드,035250,2016/12,600686651,-414060181,-198684218
(주)강원랜드,035250,2017/12,465968987,-253342340,-200711608
(주)강원랜드,035250,2018/12,366067885,-205028726,-200711608
(주)강원랜드,035250,2019/12,408994810,-212758098,-184472055
(주)강원랜드,035250,2020/12,-657703238,846552349,-183481707
(주)강원랜드,035250,2021/12,215114775,-75175336,-1147103
(주)강원에너지,114190,2011/11,15102830,-4700331,-626155
(주)강원에너지,114190,2012/12,-3145103,-21039487,12886524
(주)강원에너지,114190,2013/12,16975955,10839414,-3777017
(주)강원에너지,114190,2014/12,-14600421,-2463292,-390859
(주)강원에너지,114190,2015/12,18555072,-3757172,2041087
(주)강원에너지,114190,2016/12,-18630100,2857618,-5428
(주)강원에너지,114190,2017/12,-4605588,484043,4943754
(주)강원에너지,114190,2018/12,-10047711,-2019808,17827827
(주)강원에너지,114190,2019/12,7013798,-14691822,-8116985
(주)강원에너지,114190,2020/12,-4228563,15906301,-6197538
(주)강원에너지,114190,2021/12,-4492533,-757120,3127993
(주)갤럭시아에스엠,011420,2011/12,3957763,-1378082,987297
(주)갤럭시아에스엠,011420,2012/12,2596523,-596085,-500000
(주)갤럭시아에스엠,011420,2013/12,-780292,-2653809,0
(주)갤럭시아에스엠,011420,2014/12,-1937620,1643309,0
(주)갤럭시아에스엠,011420,2015/12,3007845,-5256354,21345843
(주)갤럭시아에스엠,011420,2016/12,-1876676,-840372,0
(주)갤럭시아에스엠,011420,2017/12,-7384193,-924879,0
(주)갤럭시아에스엠,011420,2018/12,-2638766,1036438,0
(주)갤럭시아에스엠,011420,2019/12,825072,1061814,-2068359
(주)갤럭시아에스엠,011420,2020/12,2869297,-3679961,-1497711
(주)갤럭시아에스엠,011420,2021/12,1611959,-1256057,-1636071
(주)경농,002100,2011/12,14271710,-12823304,-23125625
(주)경농,002100,2012/12,12031973,-25162774,13026318
(주)경농,002100,2013/12,16373126,-11015907,-3113306
(주)경농,002100,2014/12,14226137,-18882330,4202731
(주)경농,002100,2015/12,-9444978,-19075073,26183892
(주)경농,002100,2016/12,8683420,-2415338,-6864400
(주)경농,002100,2017/12,14393946,-3577143,-10147254
(주)경농,002100,2018/12,4624400,-4316014,696224
(주)경농,002100,2019/12,4392117,-2614186,-748540
(주)경농,002100,2020/12,8535979,3831053,-10753598
(주)경농,002100,2021/12,21191387,-20250618,9285332
(주)경동나비엔,009450,2011/12,12393396,-14561296,-2921414
(주)경동나비엔,009450,2012/12,22554949,-21037803,6979261
(주)경동나비엔,009450,2013/12,20201422,-62575806,18828815
(주)경동나비엔,009450,2014/12,-24009203,-19195852,42193315
(주)경동나비엔,009450,2015/12,36531813,1854034,-39672565
(주)경동나비엔,009450,2016/12,54602640,-13002830,-33814375
(주)경동나비엔,009450,2017/12,13453817,-25344330,13356423
(주)경동나비엔,009450,2018/12,-9553832,-31457522,35125230
(주)경동나비엔,009450,2019/12,38146715,-22368814,-19042241
(주)경동나비엔,009450,2020/12,54408162,-28444455,-15255034
(주)경동나비엔,009450,2021/12,68019725,-19941327,-42505384
(주)경동도시가스,267290,2017/12,18774744,-54094509,-856859
(주)경동도시가스,267290,2018/12,120320145,-58283279,-4705443
(주)경동도시가스,267290,2019/12,33602896,-46233496,-6084441
(주)경동도시가스,267290,2020/12,-64559,-24698122,-9673709
(주)경동도시가스,267290,2021/12,138294611,-36343069,-6858481
(주)경동인베스트,012320,2011/12,90136711,-80527912,-3630410
(주)경동인베스트,012320,2012/12,154970428,-67159239,-3844383
(주)경동인베스트,012320,2013/12,54868445,-19477359,-5604471
(주)경동인베스트,012320,2014/12,16430931,-30415596,-5180406
(주)경동인베스트,012320,2015/12,-32486622,-101000740,-3029690
(주)경동인베스트,012320,2016/12,32578235,-20799465,-17569927
(주)경동인베스트,012320,2017/12,49566809,-11098576,-4088277
(주)경동인베스트,012320,2018/12,1728544,2952258,-1137622
(주)경동인베스트,012320,2019/12,1024556,-4938785,-1799483
(주)경동인베스트,012320,2020/12,-5782743,9041946,-3592333
(주)경동인베스트,012320,2021/12,823547,1810418,-1157816
(주)경방,000050,2011/12,-11592653,-26435986,32574333
(주)경방,000050,2012/12,27341666,-19372995,-10132004
(주)경방,000050,2013/12,50395794,669867,-50551741
(주)경방,000050,2014/12,29566345,-30920122,1405347
(주)경방,000050,2015/12,44076364,-5543521,-39097741
(주)경방,000050,2016/12,61707854,-3211754,-59401698
(주)경방,000050,2017/12,51272565,6831805,-56521554
(주)경방,000050,2018/12,29443002,-32823008,1757966
(주)경방,000050,2019/12,65270564,-79930463,15530860
(주)경방,000050,2020/12,46548127,85144141,-101798528
(주)경방,000050,2021/12,-6107441,-30715445,11905805
(주)경보제약,214390,2015/12,4240142,-27781942,20772532
(주)경보제약,214390,2016/12,25328803,-20158761,-4820443
(주)경보제약,214390,2017/12,25805146,-6395974,-16842415
(주)경보제약,214390,2018/12,-1138159,-8194652,7818998
(주)경보제약,214390,2019/12,23668111,-28127563,6110674
(주)경보제약,214390,2020/12,20795227,-19677758,4418217
(주)경보제약,214390,2021/12,17967903,-16173569,-9221753
(주)경인양행,012610,2011/12,10022891,-4871100,-5585049
(주)경인양행,012610,2012/12,14914670,-2384505,-8998839
(주)경인양행,012610,2013/12,-1601346,-515260,1570497
(주)경인양행,012610,2014/12,15097174,-9760461,-3954057
(주)경인양행,012610,2015/12,-1240907,-3554826,4523629
(주)경인양행,012610,2016/12,8421999,-1366831,-3647769
(주)경인양행,012610,2017/12,652491,-16850427,16543795
(주)경인양행,012610,2018/12,911833,-23651736,26878747
(주)경인양행,012610,2019/12,-2222389,-30689433,33651668
(주)경인양행,012610,2020/12,37263507,-27133763,14854880
(주)경인양행,012610,2021/12,1344530,-18362594,42506235
(주)고려시멘트,198440,2014/12,,,
(주)고려시멘트,198440,2015/12,,,
(주)고려시멘트,198440,2016/12,,,
(주)고려시멘트,198440,2017/12,3161867,-14608429,8857140
(주)고려시멘트,198440,2018/12,1728759,-9952075,8505781
(주)고려시멘트,198440,2019/12,2862239,3351444,-2730727
(주)고려시멘트,198440,2020/12,7962781,8445229,-12602154
(주)고려시멘트,198440,2021/12,13352545,-18200161,-537689
(주)고바이오랩,348150,2020/12,-9402492,17858425,31045037
(주)고바이오랩,348150,2021/12,-5186956,-39158680,55741177
(주)고영테크놀러지,098460,2011/12,12776648,-14532348,-1005001
(주)고영테크놀러지,098460,2012/12,10610309,-7979723,-1627415
(주)고영테크놀러지,098460,2013/12,12177046,-6515012,693223
(주)고영테크놀러지,098460,2014/12,23831965,-14388870,-6429718
(주)고영테크놀러지,098460,2015/12,15161650,-1567764,-8192298
(주)고영테크놀러지,098460,2016/12,17957289,-6754347,-3412804
(주)고영테크놀러지,098460,2017/12,7492877,5318936,-22001824
(주)고영테크놀러지,098460,2018/12,44999013,-72061061,26904466
(주)고영테크놀러지,098460,2019/12,26124765,-6674843,-16157867
(주)고영테크놀러지,098460,2020/12,37199067,-7325632,-12072566
(주)고영테크놀러지,098460,2021/12,43040625,-13537228,-5830531
(주)골드앤에스,035290,2011/12,8673653,-9221199,241176
(주)골드앤에스,035290,2012/12,2427629,-9218663,9778384
(주)골드앤에스,035290,2013/12,-2348440,-1001142,351222
(주)골드앤에스,035290,2014/12,-462082,-915815,1423541
(주)골드앤에스,035290,2015/12,2167956,-5520151,3746552
(주)골드앤에스,035290,2016/12,1667960,112543,-1819363
(주)골드앤에스,035290,2017/12,-940910,-5268662,7871374
(주)골드앤에스,035290,2018/12,-2810496,-12992586,28913273
(주)골드앤에스,035290,2019/12,-6246635,-4973680,-3273255
(주)골드앤에스,035290,2020/12,-498313,913873,6671045
(주)골드앤에스,035290,2021/12,2035559,-5392461,-423594
(주)골드퍼시픽,038530,2011/12,1749769,-7888757,4078556
(주)골드퍼시픽,038530,2012/12,-4543789,1614727,2896595
(주)골드퍼시픽,038530,2013/12,-4333969,-1723987,6058715
(주)골드퍼시픽,038530,2014/12,-5423532,-3778013,9208854
(주)골드퍼시픽,038530,2015/12,-7136666,235416,9784781
(주)골드퍼시픽,038530,2016/12,-6549921,-354491,6521902
(주)골드퍼시픽,038530,2017/12,-878680,-10288331,13916056
(주)골드퍼시픽,038530,2018/12,-2028216,-8720801,16714823
(주)골드퍼시픽,038530,2019/12,-3541143,-54745086,52062469
(주)골드퍼시픽,038530,2020/12,3314523,13435702,-2152471
(주)골드퍼시픽,038530,2021/12,-1119507,-7596897,30907035
(주)골프존,215000,2015/12,41872803,-5207190,-174324
(주)골프존,215000,2016/12,32717567,-33314421,-25089880
(주)골프존,215000,2017/12,79436410,10630625,-12535982
(주)골프존,215000,2018/12,34481459,-53326757,-28387248
(주)골프존,215000,2019/12,38567865,-48182499,-34659378
(주)골프존,215000,2020/12,84563964,-52159518,-24499223
(주)골프존,215000,2021/12,125602419,-80053203,-28426816
(주)골프존뉴딘홀딩스,121440,2011/12,46694787,-195848455,140825342
(주)골프존뉴딘홀딩스,121440,2012/12,73950383,-103439750,54557320
(주)골프존뉴딘홀딩스,121440,2013/12,72616582,-74006949,2900797
(주)골프존뉴딘홀딩스,121440,2014/12,30858148,-27801730,-22570585
(주)골프존뉴딘홀딩스,121440,2015/12,-16346800,11509974,-15462565
(주)골프존뉴딘홀딩스,121440,2016/12,5618275,-7704028,-4902802
(주)골프존뉴딘홀딩스,121440,2017/12,-1147880,21294649,-2702827
(주)골프존뉴딘홀딩스,121440,2018/12,-4416464,-22304789,4997173
(주)골프존뉴딘홀딩스,121440,2019/12,2640435,3095111,-885975
(주)골프존뉴딘홀딩스,121440,2020/12,5223949,3173544,-8081166
(주)골프존뉴딘홀딩스,121440,2021/12,6789765,-2516781,-5011417
(주)광림,014200,2011/12,11879861,11284092,-19752117
(주)광림,014200,2012/12,2753017,-281965,6477044
(주)광림,014200,2013/12,14536213,-11827159,3852192
(주)광림,014200,2014/12,-3582919,-19433678,18075310
(주)광림,014200,2015/12,-2663712,-86902095,87337649
(주)광림,014200,2016/12,3288372,-23751125,19604477
(주)광림,014200,2017/12,8658598,-12037167,-4919376
(주)광림,014200,2018/12,1251490,-1944893,-1338761
(주)광림,014200,2019/12,639491,-37280398,44087905
(주)광림,014200,2020/12,18881193,15498030,-24143306
(주)광림,014200,2021/12,5421907,-10092975,13972898
(주)광명전기,017040,2011/12,1814521,-1449039,4628091
(주)광명전기,017040,2012/12,1183806,-1250745,3033140
(주)광명전기,017040,2013/12,615721,1304261,-5077198
(주)광명전기,017040,2014/12,8403184,-5355171,-1234131
(주)광명전기,017040,2015/12,13723720,2980677,-2310000
(주)광명전기,017040,2016/12,2813219,-7057653,-3000000
(주)광명전기,017040,2017/12,5270038,-4084096,2000000
(주)광명전기,017040,2018/12,-4019510,-1391132,0
(주)광명전기,017040,2019/12,23614371,-22239879,-53298
(주)광명전기,017040,2020/12,7130296,-2951813,-705441
(주)광명전기,017040,2021/12,-2088861,7147586,-6743885
(주)광무,029480,2011/12,9882003,-26650423,13527393
(주)광무,029480,2012/12,-5777036,5189931,-4822357
(주)광무,029480,2013/12,-759831,-6156953,6615872
(주)광무,029480,2014/12,1529973,2564009,-2908387
(주)광무,029480,2015/12,-550286,2044961,-2056925
(주)광무,029480,2016/12,154459,-3007014,7075165
(주)광무,029480,2017/12,247467,-7185601,2533297
(주)광무,029480,2018/12,-889612,-1332045,1642228
(주)광무,029480,2019/12,-2567529,-18999421,35185574
(주)광무,029480,2020/12,-1654541,4203856,-9578044
(주)광무,029480,2021/12,-697351,-4043945,62678016
(주)광주신세계,037710,2011/12,58007847,-54058672,-2000000
(주)광주신세계,037710,2012/12,56319963,-43652264,-2000000
(주)광주신세계,037710,2013/12,57337481,-274884013,178012700
(주)광주신세계,037710,2014/12,50217757,-5467556,-46400000
(주)광주신세계,037710,2015/12,52123039,-5629270,-37800000
(주)광주신세계,037710,2016/12,50122658,-9172921,-51100000
(주)광주신세계,037710,2017/12,51294766,-3587726,-47300000
(주)광주신세계,037710,2018/12,53868560,-658704,-7600000
(주)광주신세계,037710,2019/12,74340570,-55381469,-6454534
(주)광주신세계,037710,2020/12,50700002,-19335100,-5688883
(주)광주신세계,037710,2021/12,77532153,12310648,-5669762
(주)구스앤홈,329050,2019/12,,,
(주)구스앤홈,329050,2020/12,,,
(주)구영테크,053270,2011/12,299063,-7112406,6345301
(주)구영테크,053270,2012/12,3400845,-12928824,9932859
(주)구영테크,053270,2013/12,6156243,7208450,-12762285
(주)구영테크,053270,2014/12,-1477205,-475784,1527247
(주)구영테크,053270,2015/12,9373875,-4054529,-891795
(주)구영테크,053270,2016/12,12368645,-10098787,-2372449
(주)구영테크,053270,2017/12,3339453,-21760013,23844022
(주)구영테크,053270,2018/12,-2316059,-14236839,8738342
(주)구영테크,053270,2019/12,9760503,-5659531,-3377680
(주)구영테크,053270,2020/12,8014471,-9316325,5459067
(주)구영테크,053270,2021/12,8874095,-8015307,918725
(주)국동,005320,2011/12,-547564,-101794,1182158
(주)국동,005320,2012/12,2881390,-1294262,-2518287
(주)국동,005320,2013/12,-1572579,264854,1560069
(주)국동,005320,2014/12,-1689994,-1656764,8318267
(주)국동,005320,2015/12,1327414,-9860769,3489419
(주)국동,005320,2016/12,-2263482,-3327326,13295612
(주)국동,005320,2017/12,-3177835,-357799,-2455819
(주)국동,005320,2018/12,-4000973,3111773,-1021785
(주)국동,005320,2019/12,9576372,-30786612,24274685
(주)국동,005320,2020/12,34655143,-10467551,30532961
(주)국동,005320,2021/12,-24301785,-2391296,-25952673
(주)국보,001140,2011/12,2837703,784698,-3206294
(주)국보,001140,2012/12,-3331024,-1146905,4463114
(주)국보,001140,2013/12,3388938,-4284683,741500
(주)국보,001140,2014/12,54417,573563,-564587
(주)국보,001140,2015/12,-691347,3006756,-2474763
(주)국보,001140,2016/12,175508,606081,-851656
(주)국보,001140,2017/12,-2767209,-753184,4309295
(주)국보,001140,2018/12,-5954554,20506005,-15204967
(주)국보,001140,2019/12,-6376380,-9888438,18504664
(주)국보,001140,2020/12,-9671738,-8672071,16350744
(주)국보,001140,2021/12,1413296,-17473111,21684627
(주)국보디자인,066620,2011/12,17106438,-12284777,-2700749
(주)국보디자인,066620,2012/12,15836189,-7157603,1209544
(주)국보디자인,066620,2013/12,18002150,-25637094,1871372
(주)국보디자인,066620,2014/12,14386136,-8765083,-5096372
(주)국보디자인,066620,2015/12,5593211,-5527725,6000
(주)국보디자인,066620,2016/12,16198340,-5351274,-7555049
(주)국보디자인,066620,2017/12,19976906,-3705288,-1825983
(주)국보디자인,066620,2018/12,198822,-6824210,-4401892
(주)국보디자인,066620,2019/12,5796396,-9008695,-2891314
(주)국보디자인,066620,2020/12,30754297,-6250210,-5298568
(주)국보디자인,066620,2021/12,15506474,-19971037,-2495328
(주)국순당,043650,2011/12,7229199,-10565958,-4245481
(주)국순당,043650,2012/12,8478916,-10808940,7111594
(주)국순당,043650,2013/12,6875600,-7201301,-1541102
(주)국순당,043650,2014/12,5749495,-3795767,-770618
(주)국순당,043650,2015/12,-5215387,-350008,3981415
(주)국순당,043650,2016/12,2454538,-11010751,-881398
(주)국순당,043650,2017/12,18084724,-3908307,-881446
(주)국순당,043650,2018/12,15817595,-23419217,-2997001
(주)국순당,043650,2019/12,-3808205,17963082,-7721992
(주)국순당,043650,2020/12,12385565,-2606887,-5589256
(주)국순당,043650,2021/12,9260002,-8850731,-2882111
(주)국영지앤엠,006050,2011/12,2359273,-18568769,10469404
(주)국영지앤엠,006050,2012/12,-7365050,9456019,4211441
(주)국영지앤엠,006050,2013/12,6008427,-298265,-274770
(주)국영지앤엠,006050,2014/12,3236205,364719,-4938911
(주)국영지앤엠,006050,2015/12,647455,-1747715,2215584
(주)국영지앤엠,006050,2016/12,-3296247,-498703,1500000
(주)국영지앤엠,006050,2017/12,239246,-3251231,155044
(주)국영지앤엠,006050,2018/12,5051582,-329312,-2408429
(주)국영지앤엠,006050,2019/12,-2377260,-396408,2640900
(주)국영지앤엠,006050,2020/12,5497526,-1615345,3453467
(주)국영지앤엠,006050,2021/12,-1777762,-1323899,-149400
(주)국전약품,307750,2018/12,,,
(주)국전약품,307750,2019/12,,,
(주)국전약품,307750,2020/12,9459523,-5133454,-5597319
(주)국전약품,307750,2021/12,3042065,-32578612,38856196
(주)그래디언트,035080,2011/12,2250816,-173122093,125125263
(주)그래디언트,035080,2012/12,-10567228,52111793,-48948610
(주)그래디언트,035080,2013/12,-6019310,2521692,1028859
(주)그래디언트,035080,2014/12,-1016428,13463237,-12634350
(주)그래디언트,035080,2015/12,4203314,-11708445,7195508
(주)그래디언트,035080,2016/12,-2590783,10175946,-7586530
(주)그래디언트,035080,2017/12,7851585,-1423754,-6422406
(주)그래디언트,035080,2018/12,5564172,2772568,-7422679
(주)그래디언트,035080,2019/12,5968487,1879505,-8752477
(주)그래디언트,035080,2020/12,-8607119,39398548,-17278117
(주)그래디언트,035080,2021/12,22962521,-26961956,8915221
(주)그리티,204020,2018/12,6716028,-24763196,17576095
(주)그리티,204020,2019/12,-1030107,4865664,-3628206
(주)그리티,204020,2020/12,2620054,6557613,-9101161
(주)그리티,204020,2021/12,-3860166,6761358,-2630043
(주)그린플러스,186230,2019/12,-574078,-1466296,5966552
(주)그린플러스,186230,2020/12,5821354,-9740044,9706402
(주)그린플러스,186230,2021/12,752488,-5041351,15717650
(주)극동자동화,272420,2017/12,,,
(주)글로벌스탠다드테크놀로지,083450,2011/12,3441305,-8018854,6258900
(주)글로벌스탠다드테크놀로지,083450,2012/12,2653228,2709335,-1841908
(주)글로벌스탠다드테크놀로지,083450,2013/12,1808359,-1241318,766320
(주)글로벌스탠다드테크놀로지,083450,2014/12,9680397,-2949094,625827
(주)글로벌스탠다드테크놀로지,083450,2015/12,5202229,-6587826,-609542
(주)글로벌스탠다드테크놀로지,083450,2016/12,-449319,-2958189,78740
(주)글로벌스탠다드테크놀로지,083450,2017/12,15891168,-11691693,442280
(주)글로벌스탠다드테크놀로지,083450,2018/12,5219548,-8950470,-2579280
(주)글로벌스탠다드테크놀로지,083450,2019/12,15029673,-5336020,-215490
(주)글로벌스탠다드테크놀로지,083450,2020/12,19063786,-5041933,-3776685
(주)글로벌스탠다드테크놀로지,083450,2021/12,21090996,-14476330,-2459905
(주)금비,008870,2011/09,3797084,-37446901,37410100
(주)금비,008870,2012/09,130614,-3028774,-2001396
(주)금비,008870,2013/09,4278839,-4899854,1285748
(주)금비,008870,2014/09,7112570,-11919825,5047523
(주)금비,008870,2015/09,8190642,-1576076,-4861000
(주)금비,008870,2016/09,6739915,-11532048,3651930
