회사명,거래소코드,회계년도,외국인_주식분포비율
(주)강원랜드,035250,2016/12,28.94
(주)강원랜드,035250,2017/12,28.68
(주)강원랜드,035250,2018/12,27.48
(주)강원랜드,035250,2019/12,29.71
(주)강원랜드,035250,2020/12,22.2
(주)강원랜드,035250,2021/12,18.74
(주)강원에너지,114190,2011/11,0
(주)강원에너지,114190,2012/12,0.29
(주)강원에너지,114190,2013/12,0.16
(주)강원에너지,114190,2014/12,0.41
(주)강원에너지,114190,2015/12,0.32
(주)강원에너지,114190,2016/12,1.05
(주)강원에너지,114190,2017/12,0.66
(주)강원에너지,114190,2018/12,2.08
(주)강원에너지,114190,2019/12,1.9
(주)강원에너지,114190,2020/12,0.47
(주)강원에너지,114190,2021/12,0.32
(주)갤럭시아에스엠,011420,2011/12,0.03
(주)갤럭시아에스엠,011420,2012/12,0.49
(주)갤럭시아에스엠,011420,2013/12,0.01
(주)갤럭시아에스엠,011420,2014/12,0.89
(주)갤럭시아에스엠,011420,2015/12,0.9
(주)갤럭시아에스엠,011420,2016/12,0.21
(주)갤럭시아에스엠,011420,2017/12,0.72
(주)갤럭시아에스엠,011420,2018/12,0.31
(주)갤럭시아에스엠,011420,2019/12,3.13
(주)갤럭시아에스엠,011420,2020/12,1.7
(주)갤럭시아에스엠,011420,2021/12,0.64
(주)경농,002100,2011/12,1.76
(주)경농,002100,2012/12,1.42
(주)경농,002100,2013/12,1.13
(주)경농,002100,2014/12,0.77
(주)경농,002100,2015/12,0.76
(주)경농,002100,2016/12,0.59
(주)경농,002100,2017/12,0.71
(주)경농,002100,2018/12,0.41
(주)경농,002100,2019/12,1.29
(주)경농,002100,2020/12,0.36
(주)경농,002100,2021/12,1.03
(주)경동나비엔,009450,2011/12,2.98
(주)경동나비엔,009450,2012/12,5.28
(주)경동나비엔,009450,2013/12,4.09
(주)경동나비엔,009450,2014/12,2.35
(주)경동나비엔,009450,2015/12,4.59
(주)경동나비엔,009450,2016/12,7.87
(주)경동나비엔,009450,2017/12,3.97
(주)경동나비엔,009450,2018/12,7.67
(주)경동나비엔,009450,2019/12,8.91
(주)경동나비엔,009450,2020/12,10.13
(주)경동나비엔,009450,2021/12,13.3
(주)경동도시가스,267290,2017/12,25.8
(주)경동도시가스,267290,2018/12,21.23
(주)경동도시가스,267290,2019/12,18.18
(주)경동도시가스,267290,2020/12,15.46
(주)경동도시가스,267290,2021/12,17.34
(주)경동인베스트,012320,2011/12,17.41
(주)경동인베스트,012320,2012/12,23.2
(주)경동인베스트,012320,2013/12,22.33
(주)경동인베스트,012320,2014/12,21.93
(주)경동인베스트,012320,2015/12,21.11
(주)경동인베스트,012320,2016/12,19.64
(주)경동인베스트,012320,2017/12,13.6
(주)경동인베스트,012320,2018/12,12.83
(주)경동인베스트,012320,2019/12,11.54
(주)경동인베스트,012320,2020/12,11.03
(주)경동인베스트,012320,2021/12,13.16
(주)경방,000050,2011/12,1.08
(주)경방,000050,2012/12,1.92
(주)경방,000050,2013/12,0.99
(주)경방,000050,2014/12,1.36
(주)경방,000050,2015/12,2.85
(주)경방,000050,2016/12,3.32
(주)경방,000050,2017/12,2.16
(주)경방,000050,2018/12,2.18
(주)경방,000050,2019/12,1.87
(주)경방,000050,2020/12,2.96
(주)경방,000050,2021/12,2.03
(주)경보제약,214390,2011/12,
(주)경보제약,214390,2012/12,
(주)경보제약,214390,2013/12,
(주)경보제약,214390,2014/12,
(주)경보제약,214390,2015/12,1.06
(주)경보제약,214390,2016/12,1.81
(주)경보제약,214390,2017/12,2.69
(주)경보제약,214390,2018/12,3.12
(주)경보제약,214390,2019/12,1.41
(주)경보제약,214390,2020/12,1.11
(주)경보제약,214390,2021/12,1.03
(주)경인양행,012610,2011/12,21.78
(주)경인양행,012610,2012/12,21.87
(주)경인양행,012610,2013/12,18.5
(주)경인양행,012610,2014/12,12.96
(주)경인양행,012610,2015/12,10.81
(주)경인양행,012610,2016/12,9.82
(주)경인양행,012610,2017/12,7.71
(주)경인양행,012610,2018/12,9.97
(주)경인양행,012610,2019/12,9.63
(주)경인양행,012610,2020/12,3.59
(주)경인양행,012610,2021/12,3.35
(주)고려시멘트,198440,2014/12,0.06
(주)고려시멘트,198440,2015/12,0.08
(주)고려시멘트,198440,2016/12,0.04
(주)고려시멘트,198440,2017/12,0.06
(주)고려시멘트,198440,2018/12,0.77
(주)고려시멘트,198440,2019/12,0.57
(주)고려시멘트,198440,2020/12,0.37
(주)고려시멘트,198440,2021/12,0.36
(주)고바이오랩,348150,2020/12,0.44
(주)고바이오랩,348150,2021/12,2.2
(주)고영테크놀러지,098460,2011/12,23.39
(주)고영테크놀러지,098460,2012/12,17.01
(주)고영테크놀러지,098460,2013/12,17.83
(주)고영테크놀러지,098460,2014/12,38.7
(주)고영테크놀러지,098460,2015/12,37.83
(주)고영테크놀러지,098460,2016/12,40.54
(주)고영테크놀러지,098460,2017/12,52.18
(주)고영테크놀러지,098460,2018/12,54.47
(주)고영테크놀러지,098460,2019/12,61.33
(주)고영테크놀러지,098460,2020/12,65.74
(주)고영테크놀러지,098460,2021/12,65.17
(주)골드앤에스,035290,2011/12,0.54
(주)골드앤에스,035290,2012/12,1.42
(주)골드앤에스,035290,2013/12,0.18
(주)골드앤에스,035290,2014/12,0.28
(주)골드앤에스,035290,2015/12,0.95
(주)골드앤에스,035290,2016/12,0.08
(주)골드앤에스,035290,2017/12,0.16
(주)골드앤에스,035290,2018/12,0.81
(주)골드앤에스,035290,2020/12,0.69
(주)골드앤에스,035290,2021/12,0.03
(주)골드퍼시픽,038530,2011/12,11.21
(주)골드퍼시픽,038530,2012/12,11.92
(주)골드퍼시픽,038530,2013/12,9.81
(주)골드퍼시픽,038530,2014/12,8.05
(주)골드퍼시픽,038530,2015/12,0.32
(주)골드퍼시픽,038530,2016/12,0.15
(주)골드퍼시픽,038530,2017/12,0
(주)골드퍼시픽,038530,2018/12,6.04
(주)골드퍼시픽,038530,2019/12,5.39
(주)골드퍼시픽,038530,2020/12,1.83
(주)골드퍼시픽,038530,2021/12,1.95
(주)골프존,215000,2015/12,5.41
(주)골프존,215000,2016/12,7.65
(주)골프존,215000,2017/12,6.39
(주)골프존,215000,2018/12,5.32
(주)골프존,215000,2019/12,8.18
(주)골프존,215000,2020/12,8.3
(주)골프존,215000,2021/12,21.75
(주)골프존뉴딘홀딩스,121440,2011/12,2.12
(주)골프존뉴딘홀딩스,121440,2012/12,1.88
(주)골프존뉴딘홀딩스,121440,2013/12,3.06
(주)골프존뉴딘홀딩스,121440,2014/12,4.88
(주)골프존뉴딘홀딩스,121440,2015/12,2.55
(주)골프존뉴딘홀딩스,121440,2016/12,4.09
(주)골프존뉴딘홀딩스,121440,2017/12,3.66
(주)골프존뉴딘홀딩스,121440,2018/12,3.44
(주)골프존뉴딘홀딩스,121440,2019/12,2.77
(주)골프존뉴딘홀딩스,121440,2020/12,1.95
(주)골프존뉴딘홀딩스,121440,2021/12,2.06
(주)공구우먼,366030,2017/12,
(주)공구우먼,366030,2018/12,
(주)공구우먼,366030,2019/12,
(주)공구우먼,366030,2020/12,
(주)공구우먼,366030,2021/12,
(주)광림,014200,2011/12,5.56
(주)광림,014200,2012/12,2.59
(주)광림,014200,2013/12,0.11
(주)광림,014200,2014/12,0.96
(주)광림,014200,2015/12,1.34
(주)광림,014200,2016/12,0.49
(주)광림,014200,2017/12,0.73
(주)광림,014200,2018/12,1.58
(주)광림,014200,2019/12,0.93
(주)광림,014200,2020/12,0.94
(주)광림,014200,2021/12,3.44
(주)광명전기,017040,2011/12,0.82
(주)광명전기,017040,2012/12,0.14
(주)광명전기,017040,2013/12,1.24
(주)광명전기,017040,2014/12,2.75
(주)광명전기,017040,2015/12,4.25
(주)광명전기,017040,2016/12,3.93
(주)광명전기,017040,2017/12,2.53
(주)광명전기,017040,2018/12,4.4
(주)광명전기,017040,2019/12,4.74
(주)광명전기,017040,2020/12,3.39
(주)광명전기,017040,2021/12,2.95
(주)광무,029480,2011/12,0.32
(주)광무,029480,2012/12,1.92
(주)광무,029480,2013/12,0.93
(주)광무,029480,2014/12,0.52
(주)광무,029480,2015/12,1.36
(주)광무,029480,2016/12,1.7
(주)광무,029480,2017/12,0.4
(주)광무,029480,2018/12,0.78
(주)광무,029480,2019/12,0.55
(주)광무,029480,2020/12,3.09
(주)광무,029480,2021/12,0.91
(주)광주신세계,037710,2011/12,15.16
(주)광주신세계,037710,2012/12,15.82
(주)광주신세계,037710,2013/12,18.69
(주)광주신세계,037710,2014/12,14.62
(주)광주신세계,037710,2015/12,13.31
(주)광주신세계,037710,2016/12,13.03
(주)광주신세계,037710,2017/12,13.14
(주)광주신세계,037710,2018/12,12.41
(주)광주신세계,037710,2019/12,12.12
(주)광주신세계,037710,2020/12,12.25
(주)광주신세계,037710,2021/12,12.4
(주)구스앤홈,329050,2017/12,
(주)구스앤홈,329050,2018/12,
(주)구스앤홈,329050,2019/12,
(주)구스앤홈,329050,2020/12,
(주)구영테크,053270,2011/12,20.23
(주)구영테크,053270,2012/12,20.23
(주)구영테크,053270,2013/12,17.36
(주)구영테크,053270,2014/12,0.4
(주)구영테크,053270,2015/12,0.4
(주)구영테크,053270,2016/12,2.37
(주)구영테크,053270,2017/12,1.08
(주)구영테크,053270,2018/12,1.66
(주)구영테크,053270,2019/12,2.17
(주)구영테크,053270,2020/12,2.56
(주)구영테크,053270,2021/12,1.11
(주)국동,005320,2011/12,0.11
(주)국동,005320,2012/12,0.02
(주)국동,005320,2013/12,0.62
(주)국동,005320,2014/12,1.09
(주)국동,005320,2015/12,2.59
(주)국동,005320,2016/12,1.4
(주)국동,005320,2017/12,2.02
(주)국동,005320,2018/12,2.26
(주)국동,005320,2019/12,5.24
(주)국동,005320,2020/12,1.68
(주)국동,005320,2021/12,1.04
(주)국보,001140,2011/12,0
(주)국보,001140,2012/12,0.05
(주)국보,001140,2013/12,0.01
(주)국보,001140,2014/12,0.37
(주)국보,001140,2015/12,0.4
(주)국보,001140,2016/12,0.81
(주)국보,001140,2017/12,0.19
(주)국보,001140,2018/12,3.32
(주)국보,001140,2019/12,1.85
(주)국보,001140,2020/12,0.15
(주)국보,001140,2021/12,0.23
(주)국보디자인,066620,2011/12,1.19
(주)국보디자인,066620,2012/12,2.3
(주)국보디자인,066620,2013/12,8.73
(주)국보디자인,066620,2014/12,9.09
(주)국보디자인,066620,2015/12,9.78
(주)국보디자인,066620,2016/12,11.64
(주)국보디자인,066620,2017/12,8.06
(주)국보디자인,066620,2018/12,12.46
(주)국보디자인,066620,2019/12,12.56
(주)국보디자인,066620,2020/12,11.4
(주)국보디자인,066620,2021/12,11.42
(주)국순당,043650,2011/12,3.57
(주)국순당,043650,2012/12,1.04
(주)국순당,043650,2013/12,0.63
(주)국순당,043650,2014/12,1.85
(주)국순당,043650,2015/12,2.44
(주)국순당,043650,2016/12,3.14
(주)국순당,043650,2017/12,3.85
(주)국순당,043650,2018/12,2.71
(주)국순당,043650,2019/12,2.91
(주)국순당,043650,2020/12,0.16
(주)국순당,043650,2021/12,1.84
(주)국영지앤엠,006050,2011/12,0.94
(주)국영지앤엠,006050,2012/12,0.52
(주)국영지앤엠,006050,2013/12,0.53
(주)국영지앤엠,006050,2014/12,0.95
(주)국영지앤엠,006050,2015/12,0.25
(주)국영지앤엠,006050,2016/12,0.54
(주)국영지앤엠,006050,2017/12,3.23
(주)국영지앤엠,006050,2018/12,3.24
(주)국영지앤엠,006050,2019/12,2.97
(주)국영지앤엠,006050,2020/12,2.84
(주)국영지앤엠,006050,2021/12,4.55
(주)국전약품,307750,2018/12,0.1
(주)국전약품,307750,2019/12,0
(주)국전약품,307750,2020/12,0.01
(주)국전약품,307750,2021/12,0.87
(주)그래디언트,035080,2011/12,3.82
(주)그래디언트,035080,2012/12,1.27
(주)그래디언트,035080,2013/12,16.57
(주)그래디언트,035080,2014/12,25.13
(주)그래디언트,035080,2015/12,32.35
(주)그래디언트,035080,2016/12,26.19
(주)그래디언트,035080,2017/12,25.36
(주)그래디언트,035080,2018/12,20.6
(주)그래디언트,035080,2019/12,15.73
(주)그래디언트,035080,2020/12,8.5
(주)그래디언트,035080,2021/12,5.64
(주)그리티,204020,2011/12,
(주)그리티,204020,2012/12,
(주)그리티,204020,2013/12,
(주)그리티,204020,2014/12,
(주)그리티,204020,2015/12,
(주)그리티,204020,2016/12,
(주)그리티,204020,2017/12,
(주)그리티,204020,2018/12,0.24
(주)그리티,204020,2019/12,2.68
(주)그리티,204020,2020/12,0.87
(주)그리티,204020,2021/12,5.75
(주)그린플러스,186230,2011/12,
(주)그린플러스,186230,2012/12,
(주)그린플러스,186230,2013/12,
(주)그린플러스,186230,2014/12,
(주)그린플러스,186230,2015/12,
(주)그린플러스,186230,2016/12,
(주)그린플러스,186230,2017/12,
(주)그린플러스,186230,2018/12,
(주)그린플러스,186230,2019/12,0.68
(주)그린플러스,186230,2020/12,2.23
(주)그린플러스,186230,2021/12,2.37
(주)극동자동화,272420,2014/12,
(주)극동자동화,272420,2015/12,
(주)극동자동화,272420,2016/12,
(주)극동자동화,272420,2017/12,
(주)글로벌스탠다드테크놀로지,083450,2011/12,0.42
(주)글로벌스탠다드테크놀로지,083450,2012/12,0.63
(주)글로벌스탠다드테크놀로지,083450,2013/12,0.81
(주)글로벌스탠다드테크놀로지,083450,2014/12,2.63
(주)글로벌스탠다드테크놀로지,083450,2015/12,4.25
(주)글로벌스탠다드테크놀로지,083450,2016/12,2.73
(주)글로벌스탠다드테크놀로지,083450,2017/12,9.68
(주)글로벌스탠다드테크놀로지,083450,2018/12,7.03
(주)글로벌스탠다드테크놀로지,083450,2019/12,8.75
(주)글로벌스탠다드테크놀로지,083450,2020/12,5.57
(주)글로벌스탠다드테크놀로지,083450,2021/12,11.33
(주)금비,008870,2011/09,4.37
(주)금비,008870,2012/09,4.37
(주)금비,008870,2013/09,4.33
(주)금비,008870,2014/09,4.29
(주)금비,008870,2015/09,0.89
(주)금비,008870,2016/09,1
(주)금비,008870,2017/09,0.11
(주)금비,008870,2018/09,0.11
(주)금비,008870,2019/09,0.11
(주)금비,008870,2020/09,0.22
(주)금비,008870,2021/09,1.01
(주)금빛,045890,2011/12,0.32
(주)금빛,045890,2012/12,0.2
(주)금빛,045890,2013/12,0.56
(주)금빛,045890,2014/12,0.28
(주)금빛,045890,2015/12,0.91
(주)금빛,045890,2016/12,0.3
(주)금빛,045890,2017/12,1.2
(주)금빛,045890,2018/12,4.14
(주)금빛,045890,2019/12,1.56
(주)금빛,045890,2020/12,0.35
(주)금양,001570,2011/12,0.86
(주)금양,001570,2012/12,0.13
(주)금양,001570,2013/12,0.34
(주)금양,001570,2014/12,0.46
(주)금양,001570,2015/12,0.76
(주)금양,001570,2016/12,1.47
(주)금양,001570,2017/12,0.51
(주)금양,001570,2018/12,0.48
(주)금양,001570,2019/12,0.44
(주)금양,001570,2020/12,0.66
(주)금양,001570,2021/12,0.67
(주)금오하이텍,165270,2011/12,
(주)금오하이텍,165270,2012/12,
(주)금오하이텍,165270,2013/12,
(주)금오하이텍,165270,2014/12,
(주)금오하이텍,165270,2015/12,
(주)금오하이텍,165270,2016/12,
(주)금호에이치티,214330,2011/12,
(주)금호에이치티,214330,2012/12,
(주)금호에이치티,214330,2013/12,
(주)금호에이치티,214330,2014/12,
(주)금호에이치티,214330,2015/12,17.43
(주)금호에이치티,214330,2016/12,17.69
(주)금호에이치티,214330,2017/12,9.42
(주)금호에이치티,214330,2018/12,7.74
(주)금호에이치티,214330,2019/12,3.68
(주)금호에이치티,214330,2020/12,2.73
(주)금호에이치티,214330,2021/12,2.49
(주)금화피에스시,036190,2011/12,10.35
(주)금화피에스시,036190,2012/12,12.15
(주)금화피에스시,036190,2013/12,15.62
(주)금화피에스시,036190,2014/12,19.04
(주)금화피에스시,036190,2015/12,19.85
(주)금화피에스시,036190,2016/12,23.66
(주)금화피에스시,036190,2017/12,28.22
(주)금화피에스시,036190,2018/12,29.1
(주)금화피에스시,036190,2019/12,28.62
(주)금화피에스시,036190,2020/12,28.84
(주)금화피에스시,036190,2021/12,26.02
(주)기가레인,049080,2013/12,0.83
(주)기가레인,049080,2014/12,1.35
(주)기가레인,049080,2015/12,0.66
(주)기가레인,049080,2016/12,1.35
(주)기가레인,049080,2017/12,0.58
(주)기가레인,049080,2018/12,2.07
(주)기가레인,049080,2019/12,2.62
(주)기가레인,049080,2020/12,4.4
(주)기가레인,049080,2021/12,2.87
(주)기산텔레콤,035460,2011/12,0.06
(주)기산텔레콤,035460,2012/12,0.06
(주)기산텔레콤,035460,2013/12,0.51
(주)기산텔레콤,035460,2014/12,0.4
(주)기산텔레콤,035460,2015/12,1.65
(주)기산텔레콤,035460,2016/12,2.39
(주)기산텔레콤,035460,2017/12,1.89
(주)기산텔레콤,035460,2018/12,1.81
(주)기산텔레콤,035460,2019/12,2.54
(주)기산텔레콤,035460,2020/12,2.64
(주)기산텔레콤,035460,2021/12,4.82
(주)까뮤이앤씨,013700,2011/12,0
(주)까뮤이앤씨,013700,2012/12,0
(주)까뮤이앤씨,013700,2013/12,0.03
(주)까뮤이앤씨,013700,2014/12,0.07
(주)까뮤이앤씨,013700,2015/12,0.14
(주)까뮤이앤씨,013700,2016/12,0.06
(주)까뮤이앤씨,013700,2017/12,0.06
(주)까뮤이앤씨,013700,2018/12,0.51
(주)까뮤이앤씨,013700,2019/12,0.57
(주)까뮤이앤씨,013700,2020/12,1.43
(주)까뮤이앤씨,013700,2021/12,0.88
(주)까스텔바작,308100,2016/12,
(주)까스텔바작,308100,2017/12,
(주)까스텔바작,308100,2018/12,
(주)까스텔바작,308100,2019/12,0.41
(주)까스텔바작,308100,2020/12,0.42
(주)까스텔바작,308100,2021/12,0.89
(주)꿈비,407400,2021/12,
(주)나노,187790,2014/12,0
(주)나노,187790,2015/12,0.06
(주)나노,187790,2016/12,0.02
(주)나노,187790,2017/12,0.51
(주)나노,187790,2018/12,0.35
(주)나노,187790,2019/12,2.25
(주)나노,187790,2020/12,1.68
(주)나노,187790,2021/12,2.65
(주)나노브릭,286750,2015/12,
(주)나노브릭,286750,2016/12,
(주)나노브릭,286750,2017/12,
(주)나노브릭,286750,2018/12,
(주)나노브릭,286750,2019/12,0
(주)나노브릭,286750,2020/12,2.31
(주)나노브릭,286750,2021/12,0
(주)나노신소재,121600,2011/12,0.55
(주)나노신소재,121600,2012/12,1.55
(주)나노신소재,121600,2013/12,1.37
(주)나노신소재,121600,2014/12,1.03
(주)나노신소재,121600,2015/12,2.52
(주)나노신소재,121600,2016/12,2
(주)나노신소재,121600,2017/12,1.73
(주)나노신소재,121600,2018/12,2.36
(주)나노신소재,121600,2019/12,5.16
(주)나노신소재,121600,2020/12,1.23
(주)나노신소재,121600,2021/12,1.77
(주)나노엔텍,039860,2011/12,0.03
(주)나노엔텍,039860,2012/12,0.15
(주)나노엔텍,039860,2013/12,0.57
(주)나노엔텍,039860,2014/12,0.24
(주)나노엔텍,039860,2015/12,0.45
(주)나노엔텍,039860,2016/12,0.24
(주)나노엔텍,039860,2017/12,0.52
(주)나노엔텍,039860,2018/12,0.95
(주)나노엔텍,039860,2019/12,1.56
(주)나노엔텍,039860,2020/12,0.94
(주)나노엔텍,039860,2021/12,0.62
(주)나노트로닉스,010670,2011/12,0
(주)나노트로닉스,010670,2012/12,0
(주)나래나노텍,137080,2011/12,
(주)나래나노텍,137080,2012/12,
(주)나래나노텍,137080,2013/12,
(주)나래나노텍,137080,2014/12,
(주)나래나노텍,137080,2015/12,
(주)나래나노텍,137080,2016/12,
(주)나래나노텍,137080,2017/12,
(주)나래나노텍,137080,2018/12,
(주)나래나노텍,137080,2019/12,
(주)나래나노텍,137080,2020/12,
(주)나래나노텍,137080,2021/12,
(주)나무가,190510,2011/12,
(주)나무가,190510,2012/12,
(주)나무가,190510,2013/12,
(주)나무가,190510,2014/12,
(주)나무가,190510,2015/12,0.4
(주)나무가,190510,2016/12,1.12
(주)나무가,190510,2017/12,1.44
(주)나무가,190510,2018/12,1.36
(주)나무가,190510,2019/12,4.47
(주)나무가,190510,2020/12,1.3
(주)나무가,190510,2021/12,2.36
(주)나스미디어,089600,2011/12,
(주)나스미디어,089600,2012/12,
(주)나스미디어,089600,2013/12,0.42
(주)나스미디어,089600,2014/12,4.17
(주)나스미디어,089600,2015/12,1.36
(주)나스미디어,089600,2016/12,2.12
(주)나스미디어,089600,2017/12,10.87
(주)나스미디어,089600,2018/12,15.08
(주)나스미디어,089600,2019/12,10.4
(주)나스미디어,089600,2020/12,10.68
(주)나스미디어,089600,2021/12,10.08
(주)나이벡,138610,2011/12,0.33
(주)나이벡,138610,2012/12,0.37
(주)나이벡,138610,2013/12,0.01
(주)나이벡,138610,2014/12,0.12
(주)나이벡,138610,2015/12,0.49
(주)나이벡,138610,2016/12,0.54
(주)나이벡,138610,2017/12,0.75
(주)나이벡,138610,2018/12,0.93
(주)나이벡,138610,2019/12,1.33
(주)나이벡,138610,2020/12,0.75
(주)나이벡,138610,2021/12,1.02
(주)나이스디앤비,130580,2011/12,39.22
(주)나이스디앤비,130580,2012/12,39.43
(주)나이스디앤비,130580,2013/12,39.29
(주)나이스디앤비,130580,2014/12,40.96
(주)나이스디앤비,130580,2015/12,41.63
(주)나이스디앤비,130580,2016/12,41.01
(주)나이스디앤비,130580,2017/12,51.16
(주)나이스디앤비,130580,2018/12,51.06
(주)나이스디앤비,130580,2019/12,42.77
