회사명,거래소코드,회계년도,[제조]비유동비율(IFRS),[제조]유동비율(IFRS),[제조]당좌비율(IFRS),[제조]현금비율(IFRS),[제조]부채비율(IFRS),[제조]유동부채비율(IFRS),[제조]차입금비율(IFRS),[제조]이자보상배율(이자비용)(IFRS),[제조]유보액대비율(IFRS),[제조]유보액 대 납입자본배율(IFRS),[제조]투자집중도(IFRS)
(주)에스앤더블류,103230,2011/12,101.75,111.3,42.9,2.54,83.74,73.67,25.53,0.91,50.66,13.45,108.16
(주)에스앤더블류,103230,2012/12,95.67,125.16,63.2,12.92,55.94,48.15,40.33,0.44,59.94,14.3,116.78
(주)에스앤더블류,103230,2013/12,93.54,155.52,69.32,13.31,40.31,30.07,21.4,-1.62,66.64,14.38,148.28
(주)에스앤더블류,103230,2014/12,94.9,236.73,93.85,20.33,39.6,18.88,14.14,0.83,66.96,14.32,140.64
(주)에스앤더블류,103230,2015/12,77.48,345.82,198.96,114.97,26.16,14.08,2.37,2.42,74.29,14.93,134.4
(주)에스앤더블류,103230,2016/12,73.7,393.39,226.22,59.02,24.81,12.99,2.24,999999999,74.99,14.63,150.55
(주)에스앤더블류,103230,2017/12,74.88,481.44,266.63,31.99,22.31,9.85,0,999999999,76.15,13.57,174.21
(주)에스앤더블류,103230,2018/12,91.72,344.72,175.46,69.45,37.04,13.15,0,999999999,66.75,10.73,169.11
(주)에스앤더블류,103230,2019/12,99.33,290.13,110.19,8.99,42.66,14.93,0.97,-114.5,63.62,9.82,134.62
(주)에스앤더블류,103230,2020/12,94.87,265.75,89.76,8.78,33.52,14.54,4.5,-38.1,68.11,10.04,132.74
(주)에스앤더블류,103230,2021/12,93.77,315.48,110.5,14.44,37.47,13.85,8.57,-4.33,65.98,9.76,155.72
(주)에스앤디,260970,2021/12,18.02,500.98,461.95,85.59,20.67,20.49,0.16,1604.07,80.43,32.97,131.21
(주)에스앤에스텍,101490,2011/12,126.5,126.4,99.87,29.59,79.34,41.8,64.41,5.62,48.83,7.05,170.9
(주)에스앤에스텍,101490,2012/12,112.12,201.68,161.68,86.66,68.77,28.09,58.4,3.64,52.34,7.57,198.93
(주)에스앤에스텍,101490,2013/12,121.3,119.64,99.43,46.6,73.6,43.72,62.55,5.13,49.87,6.45,185.46
(주)에스앤에스텍,101490,2014/12,124.37,138.14,110.17,47.05,76.31,37.6,65.55,4.74,47.41,5.1,170.96
(주)에스앤에스텍,101490,2015/12,89.11,165.57,130.05,84.78,46.86,34.88,33.61,13.33,58.18,5.87,171.61
(주)에스앤에스텍,101490,2016/12,118.71,131.06,99.74,29.01,60.99,32.26,37.57,12.9,53.96,6.62,179.28
(주)에스앤에스텍,101490,2017/12,109.8,192.9,147.16,79.12,54.37,23.11,43.04,6.84,56.62,6.94,212.32
(주)에스앤에스텍,101490,2018/12,103.19,146.21,109.87,58.82,55.41,35.72,29.76,6.69,58.22,7.3,189.04
(주)에스앤에스텍,101490,2019/12,92.74,149.72,109.27,50.86,53.05,40.28,34.59,14.6,59.74,8.21,144.57
(주)에스앤에스텍,101490,2020/12,62.08,545.61,406.76,135.42,13.04,9.34,4.85,30.48,83.92,14.55,174.56
(주)에스앤에스텍,101490,2021/12,60.91,533.09,434.42,301.12,13.03,9.78,2.46,284.22,84.19,15.47,177.8
(주)에스앤케이,950180,2019/07,5.82,2821.09,2820.34,2473.17,3.59,3.47,0,999999999,60.7,1.69,325.69
(주)에스앤케이,950180,2020/07,17.49,2658.73,2657.86,1899.4,3.45,3.23,0.32,558.73,65.55,1.92,467.47
(주)에스앤케이,950180,2021/07,21.24,1875.93,1875.04,1543.26,5.02,4.47,0.66,237.51,52.7,1.24,469.14
(주)에스에너지,095910,2011/12,62.47,184.29,170.72,45.63,118.46,84.65,53.67,2.04,42.87,11.7,67.53
(주)에스에너지,095910,2012/12,48.86,187.48,180.56,47.32,115.05,88.65,54.06,12.44,44.09,13.85,78.53
(주)에스에너지,095910,2013/12,63.38,217.35,186.29,83.78,93.39,59.81,64.18,6.01,50.31,15.46,57.57
(주)에스에너지,095910,2014/12,60.06,167.52,148.59,48.93,120.27,95.64,52.7,5.96,45.72,16.14,64.91
(주)에스에너지,095910,2015/12,70.71,167.39,145.64,36.73,150.06,107.14,71.74,2.6,40.81,16,64.87
(주)에스에너지,095910,2016/12,132.48,94.21,88.91,14.19,199.84,177.65,60.75,1.29,34.06,16.44,88.85
(주)에스에너지,095910,2017/12,63.65,158.08,153.39,23.78,126.55,103.04,71.18,1.58,44.59,15.38,97.96
(주)에스에너지,095910,2018/12,55.45,172.55,165.77,15.66,90.71,78.39,52.53,0.37,52.81,16.62,161.16
(주)에스에너지,095910,2019/12,59.84,183.02,172.91,16.12,92.32,72.38,49.95,0.71,52.38,16.27,103.6
(주)에스에너지,095910,2020/12,79.8,154.82,142.14,9.66,74.64,61.26,47.77,-7.65,57.32,13.16,63.29
(주)에스에너지,095910,2021/12,86.18,123.79,115.22,15.34,113.19,102.6,43.3,-20.25,45.73,8.89,70.1
(주)에스에스알,275630,2018/12,18.89,508.67,508.67,86.39,20.14,19.9,5.57,13.33,72.29,6.6,197.32
(주)에스에스알,275630,2019/12,22.69,644.66,644.66,147.46,15.1,14.33,1.26,27.34,75.93,6.94,187.6
(주)에스에스알,275630,2020/12,20.34,986.14,986.14,354.48,10.45,9.14,0.78,-52.87,79.11,6.92,232.02
(주)에스에스알,275630,2021/12,17.17,1008.18,1007.47,447.77,10.26,9.23,0.78,303.53,80.03,7.51,245.91
(주)에스에스컴텍,036500,2011/12,98.93,117.9,82.8,1.45,103.38,88.59,85.48,0.45,41.72,4.13,167.58
(주)에스에스컴텍,036500,2012/12,74.75,134.82,108.39,22.34,91.22,86.39,77.55,-0.58,44.66,4.42,179.01
(주)에스에스컴텍,036500,2013/12,89.56,126.25,106.37,15.71,111.07,96.24,96.79,-4.25,39.18,3.69,310.8
(주)에스에스컴텍,036500,2014/12,139.89,86.54,70.33,2.22,177.33,158.82,156.02,-2.84,27.77,2.61,305.58
(주)에스에스컴텍,036500,2015/12,78.68,128.46,111.12,11.19,151.77,134.74,97,-0.82,23.39,1.18,131.62
(주)에스에스컴텍,036500,2016/12,14595.04,77.47,59.72,1.59,52886.96,49558.68,28621.14,-10.04,-66.64,-0.89,108.46
(주)에스에이엠티,031330,2011/12,120.53,96.98,77.7,0.96,463.77,457.06,331.64,3.37,2.85,0.17,20.13
(주)에스에이엠티,031330,2012/12,92.39,105.47,76.73,0.9,298.24,289.98,190.26,3.76,8.88,0.47,17.04
(주)에스에이엠티,031330,2013/12,71.9,114.45,79.06,8.13,230.91,226.31,142.18,3.82,15.11,0.87,18.6
(주)에스에이엠티,031330,2014/12,101.09,101.23,47.5,2.81,296.4,291.72,162.88,-0.62,10.35,0.6,18.92
(주)에스에이엠티,031330,2015/12,65.52,124.31,80.02,0.47,158,154.83,84.16,6.51,23.34,1.31,17.09
(주)에스에이엠티,031330,2016/12,50.48,168.38,88.93,1,76.8,75.02,26.01,7.46,39.29,2.04,19.83
(주)에스에이엠티,031330,2017/12,40.65,210.97,134.91,5.53,57.4,55.34,18.49,11.53,46.02,2.35,17.12
(주)에스에이엠티,031330,2018/12,37.98,207.37,100.42,0.73,60.7,59.18,24.87,12.51,46.5,2.64,19.9
(주)에스에이엠티,031330,2019/12,34.4,365.32,260.24,6.36,24.75,24.73,11.26,14.76,61.45,2.94,15.63
(주)에스에이엠티,031330,2020/12,29.57,262.8,166.63,7.37,43.7,43.43,10.7,24.36,54.96,3.2,20.14
(주)에스에이엠티,031330,2021/12,29.31,193.54,117.4,1.67,79.15,77.42,34.5,20.79,45.66,3.83,21.23
(주)에스에이티,060540,2011/12,139.47,75.43,68.4,49.8,72.03,43.16,64.85,-1.99,47.3,4.36,210.38
(주)에스에이티,060540,2012/12,98.88,112.6,105.88,63.43,28.94,26.7,23.7,0.26,66.73,6.17,367.71
(주)에스에이티,060540,2013/12,103.67,115.81,105.8,27.34,34.1,26.27,26.81,-1.73,62.26,5.06,255.53
(주)에스에이티,158300,2013/12,71.26,139.63,123.26,41.84,143.31,123.22,12.81,4.78,35.01,5.75,71
(주)에스에이티,060540,2014/12,94.85,242.14,227.5,174.14,31.88,15.29,22.5,4.21,61.43,4.27,136
(주)에스에이티,158300,2014/12,70.27,155.2,150.72,27.59,128.38,101.87,44.14,5.64,38.08,6.68,99.97
(주)에스에이티,158300,2015/12,128.02,131.26,126.38,5.74,222.58,148.23,105.1,-19.45,25.03,4.19,190.3
(주)에스에이티,060540,2015/12,88.54,160.3,155.32,90.49,21.42,20.51,13.55,4.22,66.89,4.32,106.66
(주)에스에이티,158300,2016/12,113.07,157.14,154.07,7.99,197.88,117.6,77.14,5.97,28.82,6.07,131.8
(주)에스에이티,060540,2016/12,72.91,464.47,427.08,194.99,8.62,7.69,0,23.07,73.72,4.02,90.73
(주)에스에이티,060540,2017/12,78.13,383.03,368.85,81.09,8.81,8.01,0,999999999,74.46,4.27,56.33
(주)에스에이티,158300,2017/12,120.74,134.57,132.28,0.66,208.88,139.8,103.41,2.64,28.38,7.1,147.87
(주)에스에이티,158300,2018/12,152.7,114.89,77.48,1,310.83,224.68,95.53,4.02,20.63,5.57,113.89
(주)에스에이티,060540,2018/12,72.5,500.21,489.09,184.5,7.62,7.02,0,999999999,75.68,4.39,163.69
(주)에스에이티,158300,2019/12,120.69,118.02,96.51,12.9,185.54,139.67,62.52,5.32,30.51,6.76,100.8
(주)에스에이티,060540,2019/12,71.2,577.61,564.2,286.71,7.27,6.25,0.42,586.34,76.85,4.7,153.94
(주)에스에이티,158300,2020/12,99.35,115.53,78.11,21.28,218.85,189.99,55.07,22.75,27.93,8.15,127.67
(주)에스에이티,060540,2020/12,73.96,446.32,426.1,74.25,8.48,7.73,0.44,306.46,76.17,4.76,181.98
(주)에스에이티,060540,2021/12,80.92,349.92,327.64,97.54,9.3,8.11,0.74,304.12,76.31,5.03,135.77
(주)에스에이티이엔지,351320,2020/12,,,,,,,,,,,
(주)에스에이티이엔지,351320,2021/12,58.51,210.45,157.96,43.22,71.51,53.69,24.68,22.19,53.98,12.48,114.86
(주)에스에프씨,112240,2011/12,29.43,252.36,103.27,16.48,48.9,47.34,33.62,13.02,64.72,14.28,99.37
(주)에스에프씨,112240,2012/12,32.47,253.72,143.01,31.72,44.74,44.25,31.17,8.43,58.91,5.79,128.29
(주)에스에프씨,112240,2013/12,28.72,327.31,176.29,33.98,31.85,31.51,16.38,18.91,65.62,6.42,110.49
(주)에스에프씨,112240,2014/12,30.6,403.03,255.54,64.88,23.36,23.02,16.24,6.37,72.65,6.65,134.66
(주)에스에프씨,112240,2015/12,29.93,793.48,558.05,105.46,11.43,10.27,2.37,-2.09,80.69,6.78,131.86
(주)에스에프씨,112240,2016/12,51.51,331.08,277.24,107.68,29.7,23.62,21.45,1.73,69.19,4.67,154.4
(주)에스에프씨,112240,2017/12,69.2,161.35,117.55,1.3,61.22,57.03,51.62,-2.16,55.36,3.94,185.56
(주)에스에프씨,112240,2018/12,74.18,163.72,123.33,9.51,46,43.87,34.29,-3.94,60.48,3.79,243.32
(주)에스에프씨,112240,2019/12,81.64,147.92,133.94,2.83,42.83,41.37,34.58,-4.09,58.7,2.61,148.32
(주)에스에프에이,056190,2011/12,45.98,206.12,202.48,38.61,62.1,56.34,0,4560.97,63.11,39.28,68.92
(주)에스에프에이,056190,2012/12,42.63,227.6,226.03,14.97,56.39,49.98,0,3532.45,70.97,44.31,110.42
(주)에스에프에이,056190,2013/12,34.48,402.99,400.05,74.79,27.8,23.16,0,999999999,79.06,49.93,119.37
(주)에스에프에이,056190,2014/12,32.02,390.97,387.74,279.31,28.19,24.6,0,999999999,80.32,52.3,147.86
(주)에스에프에이,056190,2015/12,67.72,246.69,244.32,84.27,26.43,23.8,0,9314.33,81.33,54.75,79.31
(주)에스에프에이,056190,2016/12,65.92,169.59,168.91,44.85,55.95,53.08,0,999999999,65.67,64.04,71.71
(주)에스에프에이,056190,2017/12,49.57,194.36,193.36,104.21,60.47,57.06,0,5562017,60.84,41.22,71.86
(주)에스에프에이,056190,2018/12,57.66,210.33,199.91,72.77,38.74,38.55,0,999999999,78.7,45.68,75.06
(주)에스에프에이,056190,2019/12,56.16,228.35,204.23,23.62,36.77,35.3,0.9,4252.34,78.82,52.29,96.24
(주)에스에프에이,056190,2020/12,52.78,288.86,266.51,107.51,26.2,25.42,0.71,485.2,77.87,56.91,105.82
(주)에스에프에이,056190,2021/12,58.41,303.14,255.73,56.76,21.51,20.81,0.69,439.18,81.72,58.86,101.75
(주)에스에프에이반도체,036540,2011/12,158.83,65.34,55.65,1.86,117.85,90.33,93.75,2,41.83,8.82,70.7
(주)에스에프에이반도체,036540,2012/12,202.1,73.4,63.13,20.18,164.21,84.61,133.7,0.37,34.39,8.56,77.77
(주)에스에프에이반도체,036540,2013/12,260.7,37.44,32.02,8.79,218.18,153.53,181.73,-0.09,27.91,6.81,99.2
(주)에스에프에이반도체,036540,2014/12,253.13,32.08,25.77,2.69,193.72,126.49,156.8,1.71,29.38,5.68,119.4
(주)에스에프에이반도체,036540,2015/12,220.66,148.95,134.07,82.84,186.4,44.13,138.46,-0.45,23.45,1.95,129.64
(주)에스에프에이반도체,036540,2016/12,202.53,172.27,149.83,86.91,163.24,35.24,120.27,0.06,25.01,1.84,147.86
(주)에스에프에이반도체,036540,2017/12,181.52,230.31,216.09,50.03,150.7,30.04,112.47,2.15,26.84,1.97,135.95
(주)에스에프에이반도체,036540,2018/12,183.89,192.44,178.61,42.33,144.16,31.32,106,2.92,27.96,2.06,129
(주)에스에프에이반도체,036540,2019/12,167.42,57.4,50.5,15.52,147.85,140.13,98.46,2.93,28.24,2.23,93.13
(주)에스에프에이반도체,036540,2020/12,131.24,186.58,149.18,51.49,79.56,25.9,49.31,2.99,38.76,2.23,67.08
(주)에스에프에이반도체,036540,2021/12,101.39,206.41,169.62,48.81,64.93,30.78,32.4,14.65,44.57,2.71,68.57
(주)에스엘바이오닉스,214310,2015/12,74.82,237.01,207.61,22.67,44.68,29.47,23.06,25.57,67.86,12.54,76.9
(주)에스엘바이오닉스,214310,2016/12,131.9,87.28,76.59,20.56,128.72,110.93,74.34,-12.41,40.06,6.14,81.94
(주)에스엘바이오닉스,214310,2017/12,164.85,71.07,62.69,14.3,217.24,214.43,188.3,0.22,26.65,3.07,87.76
(주)에스엘바이오닉스,214310,2018/12,80.29,121.45,115.33,38.7,102.57,100.69,68.59,-1.39,42.25,4.12,175.65
(주)에스엘바이오닉스,214310,2019/12,123.25,63.28,52.99,14.91,58.23,55.29,32.59,-1.32,48.3,2.47,62.15
(주)에스엘바이오닉스,214310,2020/12,100.27,105.7,85.03,15.15,39.24,36.87,14.9,-3.17,40.36,1.28,84.53
(주)에스엘바이오닉스,214310,2021/12,136.52,37.23,26.36,7.57,55.87,51.98,27.17,-2.73,61.11,19.8,49.23
(주)에스엠라이프디자인그룹,063440,2011/12,97.48,138.15,131.83,43.15,31.38,24.54,12.39,5.68,63.68,4.41,117.51
(주)에스엠라이프디자인그룹,063440,2012/12,109.87,95.61,92.88,24.04,32.25,23.41,15.09,-11.02,60.57,3.47,125.71
(주)에스엠라이프디자인그룹,063440,2013/12,110.49,95.34,93.75,13.15,95.04,88.68,81.28,-2.84,37.72,2.43,218.74
(주)에스엠라이프디자인그룹,063440,2014/12,114.7,89.37,81.76,26.66,64.34,55.54,37.6,0.45,33.11,1.08,129.49
(주)에스엠라이프디자인그룹,063440,2015/12,123.18,79.36,70.4,32.34,67.42,55.74,35.7,-8.14,19.79,0.46,172.61
(주)에스엠라이프디자인그룹,063440,2016/12,47.05,1524.44,1504.16,127.07,8.1,4,0,-23.13,49.43,1.1,368.61
(주)에스엠라이프디자인그룹,063440,2017/12,49.23,1691.83,1674.27,225.09,6.57,3.39,0,791.46,51.4,1.17,123.07
(주)에스엠라이프디자인그룹,063440,2018/12,37.06,942.86,934.48,78.74,10.23,7.76,0,-275.32,50.1,1.23,261.01
(주)에스엠라이프디자인그룹,063440,2019/12,38.52,944.53,940.71,198.36,10.26,7.6,0.15,153.77,48.23,1.14,139.87
(주)에스엠라이프디자인그룹,063440,2020/12,38.92,833.74,830.61,73.53,11.48,8.7,0.18,62.44,46.18,1.06,181.27
(주)에스엠라이프디자인그룹,063440,2021/12,40.24,614.65,612.37,112.79,15.65,12.27,0.88,50.59,45.54,1.11,126.44
(주)에스엠벡셀,010580,2011/12,210.83,75.49,57.32,2.06,211.68,133.61,107.06,-0.11,11.31,0.54,57.48
(주)에스엠벡셀,010580,2012/12,213.65,73.22,55.53,8.34,244.7,178.97,126.38,-4.4,7.44,0.34,60.04
(주)에스엠벡셀,010580,2013/12,279.3,68.32,49.78,7.12,346.4,244.59,178.74,-1.72,4.82,0.27,78.57
(주)에스엠벡셀,010580,2014/12,289.16,76.01,58.75,2.67,351.87,214.08,208.28,-0.54,3.17,0.17,77.08
(주)에스엠벡셀,010580,2015/12,332.53,59.87,43.58,1.9,363.73,219.14,235.72,0.06,0.06,0,72.04
(주)에스엠벡셀,010580,2016/12,242.4,58.36,43.78,6.11,241.13,169.16,123.79,-3.07,-7.15,-0.2,77.57
(주)에스엠벡셀,010580,2017/12,207.02,52.66,35.01,5.11,172.18,123.76,102.91,-1.54,-10.11,-0.22,73.24
(주)에스엠벡셀,010580,2018/12,183.89,72.01,39.75,5.45,137.56,74.54,79.04,3.24,-1.53,-0.04,67.47
(주)에스엠벡셀,010580,2019/12,287.9,47.22,37.44,0.01,281.29,197.78,112.65,-5.81,-17.47,-0.4,67.05
(주)에스엠벡셀,010580,2020/12,522.94,28.43,21.4,2.73,568.59,512.25,164.25,-2.52,-35.77,-0.7,89
(주)에스엠벡셀,010580,2021/12,119.16,90.93,61.98,14.67,47.84,31.54,0.06,-23.36,-0.8,-0.01,63.98
(주)에스엠엔터테인먼트,041510,2011/12,65.48,189.86,186.35,28.97,42.37,40.5,2.48,647.73,64.87,12.08,87.29
(주)에스엠엔터테인먼트,041510,2012/12,64.14,247.83,242.05,68.33,25.28,24.67,1.27,15401.36,75.98,19.79,94.75
(주)에스엠엔터테인먼트,041510,2013/12,63.68,233.2,227.02,50.95,32.35,29.44,3.11,417.65,73.8,21.59,120.74
(주)에스엠엔터테인먼트,041510,2014/12,74.27,267.71,257.61,74.53,21.22,17.54,3,163.65,79.96,22.22,93.73
(주)에스엠엔터테인먼트,041510,2015/12,86.76,219.73,210.95,78.13,33.82,21.42,13.61,43.4,71.67,23.46,98.14
(주)에스엠엔터테인먼트,041510,2016/12,72.55,197.31,192.13,113.02,31.46,29.85,11.61,21.52,73.3,26.44,122.53
(주)에스엠엔터테인먼트,041510,2017/12,85.22,153.48,149.72,55.87,36.08,33.14,12.38,29.01,72.25,28.97,107.65
(주)에스엠엔터테인먼트,041510,2018/12,92.29,131.67,128.4,48.15,38.6,35.17,8.99,26.44,70.17,32.57,89.17
(주)에스엠엔터테인먼트,041510,2019/12,88.44,144.05,139.56,49.64,37.16,33.82,10.51,33.54,71,34.22,93.98
(주)에스엠엔터테인먼트,041510,2020/12,88.03,134.26,132.75,60.19,43.3,41.16,6.81,38.52,69.62,32.16,91.67
(주)에스엠엔터테인먼트,041510,2021/12,85.15,208.01,205.45,67.9,56.03,34.07,21.31,23.18,63.95,37.99,103.99
(주)에스엠컬처앤콘텐츠,048550,2011/12,94.78,116.78,116.78,36.19,32.35,32.17,0.02,7.88,29.16,0.43,110.4
(주)에스엠컬처앤콘텐츠,048550,2012/12,69.57,267.73,267.73,130.66,25.83,21.01,4.82,-8.27,29.88,0.5,244.5
(주)에스엠컬처앤콘텐츠,048550,2013/12,67.27,213.46,213.46,62.13,55.02,41.11,13.54,15.06,31.53,0.82,143.42
(주)에스엠컬처앤콘텐츠,048550,2014/12,76.86,187.95,187.95,55.25,49.51,38.66,10.74,-10.32,30.49,0.76,128.8
(주)에스엠컬처앤콘텐츠,048550,2015/12,73.28,163.41,163.41,61.39,57.21,51.36,10.76,-14.41,27.59,0.7,105.39
(주)에스엠컬처앤콘텐츠,048550,2016/12,48.61,227.32,227.32,80.15,45.73,42.72,5.65,12.52,30.28,0.72,82.05
(주)에스엠컬처앤콘텐츠,048550,2017/12,81.7,116.28,116.28,37.12,160.3,153.59,5.39,-118.05,23.45,1.5,588.3
(주)에스엠컬처앤콘텐츠,048550,2018/12,85.26,112.66,112.66,46.22,178.48,171.5,6.08,-3.58,21.6,1.45,157.47
(주)에스엠컬처앤콘텐츠,048550,2019/12,81.67,111.17,111.17,45.86,201.02,197.31,11.24,3.27,20.35,1.51,208.31
(주)에스엠컬처앤콘텐츠,048550,2020/12,73.73,114.74,114.74,46.79,191.74,190,1.71,-4.38,19.25,1.23,229.01
(주)에스엠컬처앤콘텐츠,048550,2021/12,81.98,115.49,115.35,45.62,223.58,209.2,17.13,0.93,16.57,1.12,229.24
(주)에스엠코어,007820,2011/12,44.46,195.31,193.18,39.23,76.92,67.82,7.74,86.08,51.65,10.61,101.32
(주)에스엠코어,007820,2012/12,45.5,207.76,205.13,42.84,63.88,56.98,8.25,62.06,58.98,12.15,86.85
(주)에스엠코어,007820,2013/12,48.05,188.04,164.65,23.03,68.54,64.08,7.63,52.78,57.98,12.75,100.02
(주)에스엠코어,007820,2014/12,43.6,211.02,209.71,20.9,59.42,54.88,9.24,67.84,63.12,13.63,85.28
(주)에스엠코어,007820,2015/12,42.78,230.93,230.17,106.75,51.46,47.06,0,29.27,57,6.3,110.93
(주)에스엠코어,007820,2016/12,59.71,200.95,199.05,39.61,50.01,44.94,1.25,-879.28,58.78,4.61,118.26
(주)에스엠코어,007820,2017/12,30.34,350.13,339.4,112.39,32.01,29.04,0.01,13.77,65.61,6.47,137.15
(주)에스엠코어,007820,2018/12,36.16,283.39,281.76,79.13,39.58,36.5,0,37439.86,62.16,6.55,118.35
(주)에스엠코어,007820,2019/12,38.01,300.21,297.56,55.67,36.05,32.66,4.05,132.17,64.11,6.83,82.85
(주)에스엠코어,007820,2020/12,30.79,353.1,349.4,145.89,33.08,28.97,8.24,4.94,64.37,5.97,89.2
(주)에스엠코어,007820,2021/12,29.94,319.06,315.04,45.71,35.01,32.93,9.83,-6.55,63.25,5.84,120.99
(주)에스와이이노베이션,194860,2014/12,,,,,,,,,,,
(주)에스와이이노베이션,194860,2015/12,,,,,,,,,,,
(주)에스와이제이,251540,2017/12,,,,,,,,,,,
(주)에스와이코퍼레이션,008080,2011/12,89.77,145.02,113.66,50.11,52.6,43.32,39.78,6.27,12,0.22,79.26
(주)에스와이코퍼레이션,008080,2012/12,120.03,98.27,77.17,10.46,116.12,97.77,99.45,7.15,-2.54,-0.05,76.75
(주)에스원,012750,2011/12,62.48,311.5,294.21,49.17,38.31,24.34,0,999999999,86.42,44.92,94.24
(주)에스원,012750,2012/12,69.17,292.95,266.97,38.88,32.84,21.73,0,999999999,89.18,46.35,88.27
(주)에스원,012750,2013/12,76.53,234.23,214.54,38.22,35.58,25.21,0,999999999,86.87,47.8,88.01
(주)에스원,012750,2014/12,129.31,59.87,48.43,12.81,60.23,51.64,22.79,15.22,72.65,51.08,80.7
(주)에스원,012750,2015/12,106.26,106.61,91.55,35.69,40.48,32.1,0,68.53,81.15,58.6,75.34
(주)에스원,012750,2016/12,93.84,151.58,138.9,46.98,31.16,24.62,0,999999999,85.75,64.89,77.72
(주)에스원,012750,2017/12,84.07,197.86,183.56,54.07,29.53,22.98,0,999999999,85.99,70.42,79.19
(주)에스원,012750,2018/12,81.29,220.63,206.43,43.69,31.07,22.56,0,999999999,84.6,73.3,81.24
(주)에스원,012750,2019/12,80.42,193.22,182.61,47.49,32.83,27.12,1.98,280.37,83.09,76.6,81.51
(주)에스원,012750,2020/12,81.08,194.22,183.18,46.71,35.5,28.02,4.03,184.63,81.19,79.04,82.8
(주)에스원,012750,2021/12,78.78,205.2,201.66,44.72,34.8,27.3,3.52,180.41,81.39,81.36,79.38
(주)에스제이그룹,306040,2019/12,28.45,412.86,327.42,216.08,27.54,24,4.59,55.76,76.57,41.64,76.21
(주)에스제이그룹,306040,2020/12,52.19,482.06,378.81,152.54,47.37,19.74,29.26,28.8,64.9,15.78,99.36
(주)에스제이그룹,306040,2021/12,53.83,388.74,311.98,69.48,46.84,23.92,24.36,25.2,65.55,19.01,105.6
(주)에스제이엠,123700,2011/12,78.03,214.36,149.38,11.77,35.82,26.96,10.21,2.82,67.76,11.55,92.29
(주)에스제이엠,123700,2012/12,72.87,260.45,174.23,21.6,27.86,21.12,7.53,-9.05,72.47,12.62,85.28
(주)에스제이엠,123700,2013/12,69.18,296.96,205.07,26.48,23.4,18.26,2.75,-4.39,75.55,13.77,89.51
(주)에스제이엠,123700,2014/12,68.49,323.51,202.63,30.31,24.46,17.3,2.88,-100.95,74.87,13.67,117.22
(주)에스제이엠,123700,2015/12,65.03,417.1,289.53,68.21,19.86,13.15,0,-91.09,77.92,14.15,102.63
(주)에스제이엠,123700,2016/12,58.66,413.99,325.11,28.88,18.2,14.38,0,999999999,79.61,15.94,116.17
(주)에스제이엠,123700,2017/12,59.42,460.27,344.17,70.12,14.28,11.92,0,-315.66,82.55,16.67,134.03
(주)에스제이엠,123700,2018/12,67.49,401.88,297.27,66.17,14.89,11.79,0.55,-4412.57,82.1,16.63,158.32
(주)에스제이엠,123700,2019/12,64.23,519,404.49,32.78,13.32,9.46,0.02,-1738.11,83.24,16.64,165.95
(주)에스제이엠,123700,2020/12,70.35,479.14,371.44,126.31,13.68,9.04,0.1,-4534.72,82.89,16.3,182.3
(주)에스제이엠,123700,2021/12,74.76,337.05,241.57,45.63,16.03,12.25,0.01,-2791.77,81.4,17.01,166.42
(주)에스제이엠홀딩스,025530,2011/12,71.61,38981.92,38981.92,12834.3,0.08,0.07,0,999999999,98.7,14.21,424.43
(주)에스제이엠홀딩스,025530,2012/12,74.4,74365.4,74365.4,23825.23,0.05,0.03,0,999999999,98.74,14.24,1730.12
(주)에스제이엠홀딩스,025530,2013/12,77.16,29866.65,29866.65,9317.28,0.11,0.08,0,999999999,98.67,14.14,2904.89
(주)에스제이엠홀딩스,025530,2014/12,86.11,22482.74,22482.74,1354,0.11,0.06,0,999999999,98.83,16.29,196.03
(주)에스제이엠홀딩스,025530,2015/12,103.09,1525.64,1525.64,209.62,9.84,0.44,9.35,113.73,90.11,17.01,70.51
(주)에스제이엠홀딩스,025530,2016/12,101.63,2254.53,2254.53,234.09,10.48,0.39,9.12,23.8,89.63,17.62,120.9
(주)에스제이엠홀딩스,025530,2017/12,91.38,214.44,214.44,5.34,10.12,8.74,8.58,11.75,90,19.28,423.32
(주)에스제이엠홀딩스,025530,2018/12,93.32,189.44,189.44,1.31,9.94,8.78,8.57,8.85,90.15,19.5,461.07
(주)에스제이엠홀딩스,025530,2019/12,94.41,181.32,181.32,13.96,9.26,8.19,7.97,13.84,90.74,20.04,373.87
(주)에스제이엠홀딩스,025530,2020/12,100.02,108.31,108.31,11.16,9.27,8.54,8.19,9.95,90.7,19.53,324.04
(주)에스제이엠홀딩스,025530,2021/12,97.18,132.16,132.16,54.67,9.21,9.1,7.98,13.95,90.77,20.04,299.04
(주)에스제이케이,080440,2011/12,128.55,76.03,54.23,2.9,76.8,63.46,53.54,-1.89,66.03,10.95,148.64
(주)에스제이케이,080440,2012/12,149.24,56.12,34.07,1.16,95.47,82.37,67.32,-2.56,58.96,7.56,147.31
(주)에스제이케이,080440,2013/12,217.05,41.19,27.86,0.95,177.92,147.78,113.82,-3.63,26.6,2.84,129.42
(주)에스제이케이,080440,2014/12,339.16,34.68,21.62,0.62,335.55,277.95,197.93,-1.58,10.54,0.85,143.41
(주)에스제이케이,080440,2015/12,281.9,28.04,18.25,2.68,232.12,179.05,156.95,0.08,12.66,0.73,105.15
